Gene	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat
K00011	K00011: aldehyde reductase	0.000113862	0	5.15E-05	4.69E-05	8.51E-05	0.000164114	8.74E-05	5.25E-05	6.67E-05	8.68E-05	6.43E-05	0.000116433	0.000132965	8.95E-05	4.66E-05	5.82E-05	0	2.92E-05	5.56E-05	6.58E-05	3.33E-05	9.40E-05	3.53E-05	4.02E-05	5.23E-05	4.37E-05	3.77E-05	4.67E-05	0
K00012	K00012: UDPglucose 6-dehydrogenase	0.000497455	0	0.000596369	0.000584816	0.000301309	0.000485825	0.000573786	0.000586832	0.000483857	0.000660426	0.000507762	0.000546675	0.000295083	0.000446546	0.000599776	0.000651653	0	0.000458105	0.000514991	0.000614428	0.00118499	0.000557402	0.000621995	0.000693333	0.000692452	0.0005501	0.000749267	0.000779681	0.000279169
K00013	K00013: histidinol dehydrogenase	0.000500173	0	0.000518059	0.000597514	0.000490427	0.000440372	0.000361665	0.000457532	0.000477634	0.000402264	0.000439509	0.0005193	0.000484489	0.000509608	0.00049066	0.000488248	0	0.000283049	0.000537303	0.000526939	0.000583976	0.000511392	0.000464815	0.000544959	0.000559815	0.000488357	0.000618802	0.000600024	0.000470893
K00014	K00014: shikimate 5-dehydrogenase	0.000976883	0	0.00108458	0.000939712	0.00098737	0.00108323	0.00073162	0.000889337	0.000972471	0.000799933	0.000860985	0.000917846	0.000958699	0.0008638	0.00082163	0.000893657	0	0.000561314	0.000838846	0.000821362	0.000876354	0.000945935	0.000802571	0.000797799	0.000819551	0.000877261	0.000940526	0.000844406	0.00137943
K00015	K00015: glyoxylate reductase	1.32E-05	0	1.95E-05	5.08E-05	2.76E-05	1.44E-05	0	3.38E-05	0.000106803	2.42E-05	2.05E-05	2.27E-05	1.30E-05	2.68E-05	7.73E-05	5.12E-05	0	2.46E-05	6.16E-05	4.79E-05	3.22E-05	3.29E-05	5.15E-05	3.90E-05	7.42E-05	4.25E-05	5.93E-05	0	0
K00016	K00016: L-lactate dehydrogenase	0.000605291	0	0.000595425	0.000648912	0.0007378	0.000820241	0.000731092	0.000630926	0.000557999	0.000516675	0.000565138	0.00069287	0.000859644	0.00065454	0.000586473	0.000544755	0	0.000629358	0.000531502	0.000514858	0.000423858	0.000541819	0.000518667	0.000515576	0.000588789	0.000663054	0.000638236	0.000675432	0.000257512
K00018	K00018: glycerate dehydrogenase	0.000381969	0	0.000387505	0.000509297	0.000378706	0.000422687	0.000174996	0.000526136	0.000509971	0.00045161	0.000493517	0.000446173	0.000381166	0.000523758	0.000518945	0.000526454	0	0.000308504	0.000550754	0.000478852	0.000462313	0.000490073	0.000454521	0.000423817	0.000360531	0.000518532	0.000393378	0.000439754	3.30E-06
K00019	K00019: 3-hydroxybutyrate dehydrogenase	4.96E-05	0	2.52E-05	4.18E-05	0	5.27E-05	7.18E-05	6.26E-05	0.000100776	6.02E-05	3.22E-05	7.54E-05	0	2.46E-05	8.96E-05	9.29E-05	0	0	5.92E-05	4.94E-05	4.04E-05	8.29E-05	6.51E-05	4.05E-05	6.30E-05	3.53E-05	4.57E-05	7.14E-05	0.000316319
K00020	K00020: 3-hydroxyisobutyrate dehydrogenase	0.000131858	0	0.000130867	0.000122665	9.31E-05	0.000124256	6.25E-05	0.000202101	0.000175009	0.000158126	0.000113308	0.000151584	0.00023981	0.000160746	0.000125788	0.000122994	0	0.000222697	0.000151459	0.000150052	3.60E-05	0.000224673	6.87E-05	0.000136683	6.16E-05	0.000204425	8.21E-05	8.68E-05	1.27E-05
K00021	K00021: 3-hydroxy-3-methylglutaryl-CoA reductase	0	0	0	9.26E-06	0	0	0	4.55E-06	6.59E-06	4.89E-06	5.19E-06	2.33E-06	0	5.44E-06	4.50E-06	4.62E-06	0	0	1.25E-05	0	0	0	0	0	5.88E-06	0	0	9.23E-06	0
K00022	K00022: 3-hydroxyacyl-CoA dehydrogenase	0	0	0	2.31E-05	0	0	0	1.13E-05	4.05E-05	5.95E-06	2.53E-05	1.51E-05	0	6.61E-06	5.47E-06	5.62E-06	0	0	7.63E-06	1.60E-05	0	8.42E-06	1.14E-05	1.29E-05	7.15E-06	1.48E-05	0	1.12E-05	0
K00023	K00023: acetoacetyl-CoA reductase	3.63E-05	0	6.66E-05	6.08E-05	5.61E-05	5.57E-05	0.000152233	5.20E-05	5.41E-05	8.75E-05	8.46E-05	8.07E-05	3.44E-05	0.000124836	8.77E-05	0.000120616	0	0	0.000133639	4.22E-05	0.000128621	8.93E-05	0.000128875	0.000112449	0.000105309	9.54E-05	0.000145671	9.01E-05	6.29E-05
K00024	K00024	0.000175162	0	0.000231349	0.000160396	8.28E-05	7.14E-05	0.000114328	0.000170756	0.000203926	0.000297352	0.000140535	4.59E-05	0.000173485	0.000236884	0.000241485	0.000269636	0	0.000301271	0.000326856	0.000282069	0.000551147	0.00019271	0.000242136	0.000257207	0.000179324	0.00011602	0.000240329	0.000356724	0.000394159
K00027	K00027: malate dehydrogenase (oxaloacetate-decarboxylating)	0.000425628	0	0.00046447	0.00048769	0.000437214	0.000448939	0.00033141	0.000501842	0.000474316	0.000440763	0.000438576	0.000494189	0.000471668	0.000477591	0.000463982	0.000444954	0	0.000263078	0.0004308	0.000488747	0.000441236	0.000421547	0.000440072	0.000402135	0.000482349	0.000578537	0.000476616	0.000411973	0.000476476
K00028	K00028: malate dehydrogenase (decarboxylating)	5.65E-06	0	8.37E-06	0	1.15E-05	0	0	9.42E-06	6.78E-06	2.54E-06	0	9.50E-06	5.46E-06	2.82E-06	0	4.75E-06	0	2.08E-05	0	0	0	3.50E-06	2.41E-06	5.44E-06	3.05E-06	0	0	0	2.04E-05
K00029	K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	9.07E-05	0	0.000103704	6.03E-05	6.03E-05	3.37E-05	2.72E-05	0.000110415	0.000107918	8.33E-05	7.11E-05	3.18E-05	3.65E-05	7.37E-05	0.000103752	0.000116654	0	0.00013563	7.81E-05	7.94E-05	0.000199345	9.46E-05	0.000112556	8.83E-05	9.22E-05	3.73E-05	9.17E-05	0.000158807	0.000248716
K00030	K00030: isocitrate dehydrogenase (NAD+)	0.000167343	0	9.26E-05	0.000180818	0.000129411	0.000121629	7.50E-05	0.000163785	0.000127143	0.000105693	0.000170768	0.000116505	0.000210385	0.000157249	0.00015419	0.0001468	0	0	0.000173934	0.000140947	0.000115139	0.000147635	0.000156475	0.000120836	0.000110462	0.000124249	8.49E-05	0.000136113	1.31E-06
K00031	K00031: isocitrate dehydrogenase	0.000437773	0	0.000360607	0.000502121	0.000414024	0.000347278	0.000506267	0.000356783	0.000428738	0.00041445	0.000434587	0.000484236	0.0003864	0.000430497	0.000444865	0.000417707	0	0.000309692	0.000388319	0.000532453	0.00051317	0.000393614	0.000387048	0.000433354	0.00043981	0.000362707	0.00054864	0.000534613	0.000273578
K00032	K00032: phosphogluconate 2-dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
K00033	K00033: 6-phosphogluconate dehydrogenase	0.000196552	0	0.000242566	9.73E-05	0.000217664	9.89E-05	0.000153798	0.000163129	0.000134796	0.000171745	0.000127932	8.73E-05	0.000268122	0.000216482	0.000114606	0.000150699	0	0.000487931	0.000153541	0.000154694	0.00025109	0.000158854	0.000113831	0.000123254	0.000118734	0.000113633	7.27E-05	0.000210074	0.00127931
K00034	K00034: glucose 1-dehydrogenase	3.44E-05	0	9.00E-05	4.35E-05	0.000122234	1.76E-05	3.53E-05	1.39E-05	3.06E-05	5.29E-05	5.53E-05	5.70E-05	3.26E-05	5.00E-05	6.09E-05	3.42E-05	0	0.000128118	0.000125103	2.94E-05	0	5.19E-05	2.11E-05	2.40E-05	1.82E-05	5.25E-05	0	5.61E-05	1.25E-05
K00036	K00036: glucose-6-phosphate 1-dehydrogenase	0.000121145	0	0.000137309	9.48E-05	0.000106305	0.000130111	0.000166221	9.47E-05	7.30E-05	0.000141781	5.38E-05	2.41E-05	0.000132251	0.000116926	0.000100582	8.82E-05	0	0.000261357	0.000111022	0.000114374	0.000103784	0.000109122	6.68E-05	0.000131135	7.53E-05	0.000102126	0.000106493	0.000183946	0.000379502
K00037	K00037: 3-alpha-hydroxysteroid dehydrogenase	1.71E-05	0	0	1.35E-05	0	0	0	0	0	0	1.57E-05	1.79E-05	0	1.65E-05	2.02E-05	0	0	0	1.90E-05	1.02E-05	0	3.18E-05	1.41E-05	7.73E-06	0	1.81E-05	0	0	7.21E-06
K00038	K00038: 3alpha(or 20beta)-hydroxysteroid dehydrogenase	1.65E-05	0	1.30E-05	0	0	1.81E-05	0	1.43E-05	1.05E-05	2.34E-05	8.51E-06	4.97E-05	0	4.35E-05	6.93E-06	2.92E-05	0	0	2.03E-05	0	0	3.23E-05	1.45E-05	2.52E-05	2.84E-05	0	0	1.51E-05	0.000133984
K00039	K00039: ribitol 2-dehydrogenase	0	0	1.35E-05	0	1.85E-05	0	0	0	0	0	0	2.91E-05	0	0	0	0	0	3.34E-05	0	1.07E-05	0	0	0	0	0	0	0	0	0
K00040	K00040: fructuronate reductase	0.000173809	0	0.000162516	0.000208421	0.00016244	0.000158154	7.05E-05	0.000136377	0.000167368	0.000164613	0.000146916	0.000175919	0.000220116	0.000117508	0.000177722	0.000134365	0	0.000141861	0.000187231	0.00019886	0.000255346	0.000196308	0.000180141	0.00016971	0.000171243	0.000284417	0.000310398	0.000152483	0
K00041	K00041: tagaturonate reductase	0.000212776	0	0.000186735	0.000203573	0.000172574	0.000132067	0.000113274	0.000130957	0.000176435	0.000191939	0.000135114	0.000135266	0.000135808	0.000106242	0.000175953	0.00018446	0	0.000198904	0.000215441	0.000190215	0.000217324	0.000144168	0.000193679	0.000181774	0.000191197	0.000225751	0.000243129	0.000226232	0
K00042	K00042: 2-hydroxy-3-oxopropionate reductase	0.000117601	0	0.000142512	0.000162791	0.000165975	0.000141776	0.00015599	9.35E-05	0.000177733	0.000106375	0.000105536	0.000107358	0.000171117	0.00017698	0.000103789	0.000138283	0	0.000108881	0.000195218	0.000131803	3.61E-05	0.000137327	0.000120218	0.000100932	0.00010359	0.000141007	8.11E-05	7.54E-05	0
K00043	K00043: 4-hydroxybutyrate dehydrogenase	4.69E-05	0	2.63E-05	9.95E-05	6.04E-05	3.76E-05	2.48E-05	8.37E-05	6.38E-05	4.74E-05	8.38E-05	9.24E-05	7.92E-05	9.91E-05	6.78E-05	8.45E-05	0	2.17E-05	9.44E-05	8.38E-05	5.67E-05	0.000109057	7.00E-05	8.54E-05	3.80E-05	6.19E-05	4.81E-05	5.96E-05	9.71E-06
K00044	K00044: estradiol 17beta-dehydrogenase	3.26E-05	0	2.45E-05	3.53E-05	1.56E-05	0	0	2.52E-05	9.67E-06	1.32E-05	0	2.43E-05	2.66E-05	6.86E-06	1.97E-05	2.25E-05	0	0	8.78E-06	8.19E-06	0	2.73E-05	2.68E-05	2.14E-05	7.42E-06	1.61E-05	1.94E-05	1.28E-05	0
K00045	K00045: mannitol 2-dehydrogenase	0	0	0	0	0	0	0	7.45E-06	0	3.88E-06	3.94E-06	0	0	8.71E-06	0	1.49E-05	0	1.60E-05	5.11E-06	1.55E-05	0	0	7.46E-06	8.31E-06	9.47E-06	0	0	0	0
K00046	K00046: gluconate 5-dehydrogenase	0.000279923	0	0.000406164	0.00027846	0.000240213	0.00015911	0.000349814	0.000256238	0.000298765	0.000406461	0.000220536	0.000223153	0.000239538	0.00034244	0.000341248	0.000343182	0	0.000396779	0.000371747	0.000463086	0.000236315	0.000454938	0.000415248	0.000444005	0.000256966	0.000312615	0.00038007	0.000318644	9.07E-05
K00048	K00048: lactaldehyde reductase	0.000318438	0	0.000416328	0.000406713	0.000340253	0.000317632	0.000239882	0.000378213	0.000441244	0.00033741	0.000364287	0.000398433	0.000406503	0.000312348	0.000428523	0.000391288	0	0.000378808	0.000380604	0.000434322	0.000411999	0.000310393	0.000398736	0.000420547	0.00039325	0.000337127	0.000638891	0.000481762	4.41E-05
K00049	K00049: glyoxylate reductase (NADP+)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24E-06	0	0	0	0	0	0	0
K00050	K00050: hydroxypyruvate reductase	5.57E-05	0	7.98E-05	9.67E-05	3.10E-05	4.44E-05	0	0.000134155	0.000136771	7.93E-05	0.000119551	0.00013537	4.04E-05	4.63E-05	0.000184735	0.000193963	0	1.90E-05	0.000125188	0.000110756	0.000150502	6.28E-05	0.000167956	0.00010078	0.000117422	6.58E-05	0.000100063	9.67E-05	0
K00051	K00051: malate dehydrogenase (NADP+)	0	0	0	0	0	0	0	1.06E-05	7.60E-06	0	0	0	0	0	1.56E-05	1.07E-05	0	0	0	0	0	0	0	6.10E-06	0	0	0	1.06E-05	0
K00052	K00052: 3-isopropylmalate dehydrogenase	0.000570308	0	0.000538819	0.000550107	0.000509758	0.000487095	0.000409305	0.000490697	0.000499694	0.000577333	0.000472716	0.000563164	0.000529288	0.000532714	0.000488824	0.000592514	0	0.000297812	0.000507407	0.000602546	0.000581124	0.000552083	0.000564529	0.000597557	0.000605	0.000519663	0.000512355	0.000615845	0.000743763
K00053	K00053: ketol-acid reductoisomerase	0.000598973	0	0.000508831	0.000554285	0.000503032	0.000430873	0.000534093	0.000515845	0.000561078	0.00046514	0.000428276	0.000564756	0.000684482	0.000656156	0.000468924	0.000498653	0	0.000552333	0.000562593	0.000527909	0.000702426	0.00066698	0.000473096	0.000625923	0.000437743	0.000754386	0.000419595	0.000468637	0.000529003
K00054	K00054: hydroxymethylglutaryl-CoA reductase	3.09E-05	0	9.29E-05	4.35E-05	6.39E-05	6.23E-05	0.000152719	4.36E-06	0	4.16E-05	4.91E-06	5.78E-06	4.98E-05	2.06E-05	4.29E-06	3.96E-05	0	0.00012548	2.12E-05	6.04E-06	0	2.53E-05	1.32E-05	3.98E-05	1.66E-05	2.17E-05	0	0	0.000439502
K00055	K00055: aryl-alcohol dehydrogenase	0	0	2.69E-05	0	2.41E-05	1.28E-05	0	0	7.12E-06	5.32E-06	0	2.70E-05	1.12E-05	2.99E-05	9.84E-06	5.08E-06	0	2.23E-05	1.38E-05	7.09E-06	0	2.22E-05	0	5.82E-06	0	1.26E-05	0	0	0
K00057	K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+)	0.000774716	0	0.000576127	0.000681782	0.000690891	0.000688826	0.000653089	0.000698458	0.000805989	0.000684385	0.000728148	0.000683965	0.000712283	0.000750802	0.000704743	0.000731748	0	0.000623667	0.000695219	0.000599254	0.000631699	0.000671146	0.000672639	0.000768787	0.000714153	0.000585176	0.000721784	0.000830819	0.000480789
K00058	K00058: D-3-phosphoglycerate dehydrogenase	0.000769923	0	0.00102217	0.000951263	0.000864994	0.000800737	0.000590359	0.00107208	0.00113147	0.000972756	0.0010884	0.00098147	0.000995996	0.00117302	0.00111822	0.00112947	0	0.000777557	0.00102347	0.00109529	0.000866742	0.00108651	0.000886811	0.000856289	0.000924903	0.000949597	0.000915773	0.000879662	0.000466251
K00059	K00059: 3-oxoacyl-[acyl-carrier protein] reductase	0.00162213	0	0.00170742	0.00182421	0.00146057	0.00143758	0.000937706	0.00166972	0.00194273	0.00192112	0.00190171	0.00171972	0.0014196	0.00167974	0.00190687	0.00186105	0	0.00157304	0.00184774	0.00203738	0.00163464	0.00200797	0.00182902	0.00196498	0.00178156	0.00164425	0.00175319	0.00179764	0.00245286
K00060	K00060: threonine 3-dehydrogenase	6.34E-05	0	0.000112551	9.66E-05	6.53E-05	4.05E-05	8.04E-05	0.000126195	0.000129183	9.47E-05	8.38E-05	6.40E-05	6.09E-05	0.000118195	0.000106797	0.000110434	0	0.000117751	0.000114155	0.000110922	8.90E-05	8.53E-05	5.80E-05	9.72E-05	5.41E-05	6.72E-05	5.20E-05	8.43E-05	0.000230262
K00063	K00063: D-arabinose 1-dehydrogenase	0	0	0	0	0	0	0	5.71E-06	0	0	0	0	0	0	0	1.13E-05	0	2.48E-05	0	7.96E-06	0	0	0	0	0	0	0	0	0
K00064	K00064: D-threo-aldose 1-dehydrogenase	1.61E-05	0	3.38E-05	3.84E-05	0	0	0	2.04E-05	1.95E-05	4.24E-05	7.69E-06	7.31E-06	0	3.65E-05	4.46E-05	4.00E-05	0	2.99E-05	1.86E-05	5.63E-05	0.000150016	2.84E-05	5.51E-05	3.92E-05	4.21E-05	0	2.21E-05	5.47E-05	7.95E-05
K00065	K00065: 2-deoxy-D-gluconate 3-dehydrogenase	0.000239749	0	0.000229011	0.000172316	0.000158573	0.00017875	0.000181029	0.00014314	0.000204652	0.00017513	0.000104278	0.000163655	0.000306546	0.000160899	0.000111391	0.000121807	0	0.00031458	0.000146749	0.000232207	0	0.000252953	0.000116214	0.000165319	8.08E-05	0.00019822	6.68E-05	5.63E-05	0.000202405
K00066	K00066: GDP-mannose 6-dehydrogenase	2.00E-05	0	0	0	0	0	0	0	0	0	9.61E-06	0	0	4.99E-06	0	8.47E-06	0	0	0	6.05E-06	0	0	8.44E-06	4.86E-06	0	2.11E-05	0	0	0
K00067	K00067: dTDP-4-dehydrorhamnose reductase	0.000629599	0	0.000783944	0.000844924	0.000741762	0.000724115	0.000948919	0.00080641	0.000660722	0.000921553	0.000676688	0.000772332	0.000865137	0.000641826	0.000794304	0.00073449	0	0.000661171	0.000729457	0.00100687	0.000982654	0.00076889	0.000701174	0.000780072	0.000752385	0.000719461	0.000689214	0.000914416	0.000228228
K00068	K00068: sorbitol-6-phosphate 2-dehydrogenase	8.14E-05	0	0.00013301	8.16E-05	0.000116416	0.000137106	0.000168236	6.21E-05	6.93E-05	4.40E-05	7.92E-05	5.52E-05	6.20E-05	7.25E-05	4.71E-05	6.94E-05	0	0.000268078	0.00010242	5.80E-05	4.04E-05	2.95E-05	8.34E-05	2.41E-05	7.11E-05	8.46E-05	4.49E-05	5.51E-05	6.02E-06
K00069	K00069: 15-hydroxyprostaglandin dehydrogenase (NAD)	0	0	0	0	0	0	0	0	0	0	1.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.26E-06	0	0	1.45E-05	0
K00073	K00073: ureidoglycolate dehydrogenase	5.04E-05	0	5.64E-05	3.19E-05	1.29E-05	6.75E-05	8.01E-05	1.08E-05	4.58E-05	3.38E-05	1.20E-05	2.14E-05	3.64E-05	2.52E-05	2.06E-05	2.14E-05	0	9.40E-05	3.65E-05	6.05E-05	0	3.12E-05	5.44E-06	6.30E-06	1.37E-05	5.38E-05	0	2.14E-05	0.000194271
K00074	K00074: 3-hydroxybutyryl-CoA dehydrogenase	0.000271579	0	0.000263293	0.000415947	0.000217027	0.000332073	6.29E-05	0.000437846	0.000430936	0.000312473	0.000381089	0.000445537	0.000271992	0.000360808	0.000350311	0.000375702	0	0.00018683	0.000269513	0.000503622	0.000220014	0.000318463	0.00029672	0.000497038	0.000456546	0.000339724	0.000367883	0.000272069	0.000275103
K00075	K00075: UDP-N-acetylmuramate dehydrogenase	0.000672353	0	0.000700692	0.000789766	0.000673183	0.000766352	0.000731867	0.000806518	0.000707025	0.000720469	0.000826181	0.000769239	0.000882544	0.000654831	0.000752024	0.000765638	0	0.000528526	0.000736744	0.000629998	0.000700264	0.000676292	0.000808105	0.000772661	0.000780505	0.000693992	0.000843456	0.000863118	0.000990748
K00076	K00076: 7-alpha-hydroxysteroid dehydrogenase	8.59E-05	0	0.000128557	2.92E-05	0.000123911	0.000165249	0.000145014	5.07E-05	8.31E-05	3.82E-05	4.10E-05	3.87E-05	9.96E-05	6.00E-05	4.26E-05	2.90E-05	0	3.17E-05	4.95E-05	4.07E-05	0	0.000138404	5.85E-05	5.00E-05	1.86E-05	0.0001811	2.35E-05	0.000130982	0.0002729
K00077	K00077: 2-dehydropantoate 2-reductase	0.000452614	0	0.000537228	0.000535686	0.000498913	0.000443881	0.000288502	0.000461163	0.000490758	0.000506735	0.000390219	0.000559397	0.000489356	0.000468052	0.000521652	0.000518618	0	0.000391381	0.000485942	0.000466381	0.000359203	0.000566806	0.000528781	0.000519226	0.000489615	0.000423756	0.000544602	0.000395388	0.000223763
K00078	K00078: D-xylose 1-dehydrogenase (NADP)	0.000116458	0	5.82E-05	9.36E-05	0.000159764	5.57E-05	2.73E-05	0.000140635	0.000104653	8.63E-05	0.000104196	0.00012701	0.00016219	0.000137939	9.54E-05	9.58E-05	0	0.000143501	0.000167436	0.000100229	6.22E-05	0.000199919	9.83E-05	8.74E-05	0.00011194	0.000161794	0.000192368	6.53E-05	0
K00079	K00079: carbonyl reductase (NADPH)	3.47E-05	0	2.30E-05	2.61E-05	0	0	0	6.32E-06	9.09E-06	1.46E-05	0	8.62E-06	1.48E-05	7.63E-06	0	6.49E-06	0	0	0	1.93E-05	0	9.48E-06	7.32E-06	8.34E-06	0	3.43E-05	0	0	0
K00082	K00082: 5-amino-6-(5-phosphoribosylamino)uracil reductase	5.57E-05	0	1.36E-05	6.28E-05	5.74E-05	7.77E-05	0	5.49E-05	8.61E-05	9.35E-05	0.000160449	5.26E-05	1.75E-05	9.37E-05	7.82E-05	0.000102888	0	0	7.62E-05	7.80E-05	0.000183211	0.000103877	9.62E-05	0.000108755	0.000120389	7.85E-05	7.57E-05	0.000126332	4.92E-05
K00085	K00085: aldose-6-phosphate reductase (NADPH2)	0	0	0	0	0	0	0	5.93E-06	0	0	0	0	0	0	5.83E-06	5.98E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
