ID,NAME,CSM5LLGB.kegg.e-40.m8-hit-keg-cat,CSM6J2H9.kegg.e-40.m8-hit-keg-cat,CSM79HGR.kegg.e-40.m8-hit-keg-cat,ESM5GEYX.kegg.e-40.m8-hit-keg-cat,ESM5GEYY.kegg.e-40.m8-hit-keg-cat,ESM5GEZ1.kegg.e-40.m8-hit-keg-cat,ESM5MEAB.kegg.e-40.m8-hit-keg-cat,ESM5MEB9.kegg.e-40.m8-hit-keg-cat,ESM5MEC7.kegg.e-40.m8-hit-keg-cat,ESM5MEDP.kegg.e-40.m8-hit-keg-cat,ESM5MEE2.kegg.e-40.m8-hit-keg-cat,ESM5MEEJ.kegg.e-40.m8-hit-keg-cat,ESM718U9.kegg.e-40.m8-hit-keg-cat,ESM7F5AE.kegg.e-40.m8-hit-keg-cat,HSM5MD6G.kegg.e-40.m8-hit-keg-cat,HSM5MD6S.kegg.e-40.m8-hit-keg-cat,HSM67VDR.kegg.e-40.m8-hit-keg-cat,HSM67VDT.kegg.e-40.m8-hit-keg-cat,HSM6XRQC.kegg.e-40.m8-hit-keg-cat,HSM6XRTE.kegg.e-40.m8-hit-keg-cat,HSM7CZ2X.kegg.e-40.m8-hit-keg-cat,HSM7J4JV.kegg.e-40.m8-hit-keg-cat,HSMA33J1.kegg.e-40.m8-hit-keg-cat,mock_even_lc-hit-keg-cat
K05841,K05841: sterol 3beta-glucosyltransferase,0,0,0,1.49528e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05844,K05844: ribosomal protein S6 modification protein,0,0,0,4.03873e-05,4.33448e-05,4.93166e-05,0,3.48055e-05,5.58589e-05,0,3.28464e-05,3.15701e-05,0.000162263,2.94817e-05,0,0,7.66838e-05,0,0.000104246,0,4.84903e-05,0,0,0
K05845,K05845: osmoprotectant transport system substrate-binding protein,0.000692656,0.00015647,0,0,0.00020988,7.07556e-05,0,8.96363e-05,0.000127131,0,9.68879e-05,7.38387e-05,5.08489e-05,7.41663e-05,0,0,2.29931e-05,2.23076e-05,0.000254281,7.16831e-05,0.000138969,0,7.58981e-05,6.79105e-05
K05846,K05846: osmoprotectant transport system permease protein,0.00172745,0.00015647,0,9.03675e-05,0.000407021,0.000184978,0,2.08143e-05,0.000254893,0,9.68879e-05,0.00010868,0.000287009,0.000117585,0,0,2.29931e-05,5.19159e-05,0.000254281,0.000167281,0.000260318,0,7.58981e-05,0.000497933
K05847,K05847: osmoprotectant transport system ATP-binding protein,0.000474396,0.000418081,0,0,0.000148487,9.85509e-05,4.75253e-05,3.32634e-05,0.000121438,0.000113851,2.62422e-05,5.93016e-05,8.1914e-05,6.39422e-05,0,0,0,7.72274e-05,0.000250616,9.09057e-05,0.000104033,0,0,0.000324653
K04083,K04083: molecular chaperone Hsp33,0,0.000270607,0.000373478,0.000300855,0.000360275,0.000494544,0.000368032,0.000286662,0.000331985,0.000318274,0.000712942,0.000276253,0.00027302,0.000131658,0,0.000374982,0.000240456,0.000162146,0.000224201,0.000407813,0.000207386,0.000386162,0.000569029,0.000690103
K04082,K04082: molecular chaperone HscB,0,0,0,0,0.000109822,8.442e-05,0,0.000116619,9.89701e-05,0,0,0,0.00014153,0,0,0,6.27084e-05,0,0,0,0,0.000131171,0,0.000493965
K04081,K04081: molecular chaperone IbpB,0.00114161,0,0,0,4.30488e-05,4.9953e-05,0,6.78143e-05,5.74666e-05,0,0,0,0.000137704,0,0,0,0,0,0,0,8.23026e-05,0,0,0
K04080,K04080: molecular chaperone IbpA,0.00116414,0,0,0,0.00018241,5.65162e-05,0,6.91526e-05,0,0,0,0,0.000185951,0,0,0,0,0,0,0,0.000111139,0,0,0
K04087,K04087: membrane protease subunit HflC,0,0,2.7802e-05,3.92813e-05,0.000156613,0.000156827,6.07356e-05,7.12632e-05,8.78989e-05,0,0.000202901,0.00010381,8.63568e-05,6.42242e-05,0,0,7.93673e-05,3.79974e-05,9.88923e-05,6.14585e-05,0.000190744,0.000146751,4.38573e-05,0.00021322
K04086,K04086: ATP-dependent Clp protease ATP-binding subunit ClpL,0,0,0,8.75895e-06,3.74538e-05,3.2692e-05,0,0,1.27429e-05,0,2.80485e-05,2.79957e-05,0,1.37242e-05,0,1.91862e-05,1.6776e-05,0,9.13064e-05,0,0,3.24158e-05,0,0.000206464
K04085,K04085: tRNA 2-thiouridine synthesizing protein A,0,0,4.03783e-05,7.10117e-05,0.000114573,0.000176218,4.32257e-05,0.000167806,0,3.66571e-05,0,0,3.07301e-05,2.30447e-05,0,3.3142e-05,0.000158916,1.37505e-05,3.94853e-05,1.11172e-05,0.000172165,2.72152e-05,3.11075e-05,0
K04084,K04084: thiol:disulfide interchange protein DsbD,0,0,1.38321e-05,1.06084e-05,7.83357e-05,5.24299e-05,8.79752e-05,7.06145e-05,0,2.51146e-05,1.71322e-05,0,0.000215682,1.59467e-05,0,0,3.90247e-05,3.66807e-05,5.52929e-05,4.45933e-05,5.24318e-05,0,2.13125e-05,0.000124259
K11618,K11618: two-component system NarL family response regulator LiaR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25047e-05,0,0,4.15979e-05
K04088,K04088: membrane protease subunit HflK,0,0,2.69081e-05,3.5182e-05,0.000105095,0.000146985,4.27614e-05,9.90434e-05,7.05784e-05,0,0.000125656,8.56948e-05,0.000128499,6.14279e-05,0,0,5.30968e-05,3.66533e-05,0,7.11712e-05,8.30465e-05,0,2.76104e-05,0
K12521,K12521: minor pilin subunit PapF,0,0,0,0,0,8.79853e-05,0,0,0,0,0,0,0.000144746,0,0,0,0,0,0,0,8.65116e-05,0,0,0
K00989,K00989: ribonuclease PH,0,0,9.94479e-05,0.000106115,0.000272219,0.000219008,7.13827e-05,8.54569e-05,0.000144609,5.62752e-05,8.08518e-05,0.000126512,0.000360796,0.000117128,0,0,0.00017171,8.76343e-05,0.000262401,0.000143349,0.000185214,9.24645e-05,0.000105301,0.000411964
K00986,K00986: RNA-directed DNA polymerase,0,0.000487454,0.00100728,0.00106988,0.0011149,0.000889075,0.000697321,0.00126293,0.00122346,0.00108778,0.0005957,0.000891959,0.00075937,0.00127643,0,0.000921953,0.00105593,0.000931332,0.00076339,0.00104812,0.00092137,0.00118375,0.00127828,0
K01103,K01103: fructose-26-bisphosphatase,0,0,0,0,1.63543e-05,0,0,2.59536e-05,0,0,0,0,0,0,0,0,0,0,0,2.25887e-05,0,0,0,0
K00985,K00985: RNA-directed RNA polymerase,0.00101695,0.000908246,0.000144283,0.000180465,0.000230089,0.000400485,0.000411886,0.000302047,0.00035834,0.000349295,0.000285046,0.000352714,0,0.000219587,0,0.000315801,0.000471753,0.000131025,0.000188123,0.0001589,0.000350023,0.00038899,0.000518726,0
K00982,K00982: glutamate-ammonia-ligase adenylyltransferase,0,0,0,1.32914e-05,6.34224e-05,7.3069e-05,9.20909e-05,0.00014148,5.53912e-05,0,3.09424e-05,4.30253e-05,0.000106031,2.93032e-05,0,1.45523e-05,4.83176e-05,0,3.35726e-05,6.51434e-05,7.85206e-05,0,5.24888e-05,0
K01104,K01104: protein-tyrosine phosphatase,0,0.000779583,0.00135142,0.00100015,0.00141053,0.000888173,0.00120116,0.000962367,0.00118275,0.00133194,0.0012184,0.00126711,0.00144366,0.0011708,0,0.00138366,0.000964599,0.00144714,0.00231891,0.00142275,0.00125766,0.00106889,0.00131582,0.00162622
K00980,K00980: glycerol-3-phosphate cytidylyltransferase,0,0,0,4.7577e-05,4.76611e-05,0.000164568,0.000127979,0,0,0,0.000215156,0,0.000151639,6.87198e-05,0,9.88298e-05,8.37603e-05,0.000171766,0.000233809,0,0.000218297,0,0,0.000194231
K00981,K00981: phosphatidate cytidylyltransferase,0,0.000565422,0.000719603,0.000561153,0.000706398,0.000723123,0.000705719,0.000631877,0.000501187,0.000693128,0.000708318,0.000621509,0.000795507,0.000779371,0,0.000641809,0.000737206,0.00074864,0.000812544,0.00054855,0.000573673,0.000792976,0.000589945,0.00157248
K05592,K05592: ATP-dependent RNA helicase DeaD,0.000603624,0.000140851,0.000608218,0.000506169,0.000598847,0.000473112,0.00045881,0.000598001,0.000531799,0.000578155,0.000488115,0.000483544,0.000511285,0.000629512,0,0.000582717,0.000497916,0.000427155,0.000766994,0.000540247,0.000451779,0.000456654,0.000479076,0.000784655
K05593,K05593: aminoglycoside 6-adenylyltransferase,0,0,2.95704e-05,4.55378e-05,2.3578e-05,0,0,0,0,5.36903e-05,6.89065e-05,3.61438e-05,0,3.16294e-05,0,4.85419e-05,4.04362e-05,4.02799e-05,0,6.49037e-05,0,0,0,0
K05590,K05590: ATP-dependent RNA helicase SrmB,0,0,0,1.39559e-05,4.48845e-05,6.95637e-05,4.03537e-05,4.73482e-05,4.00781e-05,0,0,0,5.72479e-05,0,0,0,7.92926e-05,0,0,0,6.84314e-05,0,0,2.05841e-05
K05591,K05591: ATP-independent RNA helicase DbpA,0,0,0.000113296,4.25567e-05,0.000166389,0.000102861,0.000162601,0.000237798,0.000160771,0.00024268,0.000109626,0.000207099,0.000345502,0.000108645,0,0.000187829,0.000133377,0.00015586,0.000150498,0.000146135,0.000204668,0.000204749,0.000176299,0.000118949
K05596,K05596: LysR family transcriptional regulator chromosome initiation,0,0,0,0,2.1049e-05,2.44248e-05,0,6.63168e-05,2.80987e-05,0,0,0,0.000164999,0,0,0,0,0,0,0,9.60632e-05,0,0,0.000377515
K05597,K05597: glutamin-(asparagin-)ase,0,0,2.35729e-05,0,0,2.34628e-05,0,0,2.50909e-05,0,0,0,0,0,0,0,3.55348e-05,0,0,0,0,0,0,0
K05594,K05594: ElaB protein,0,0,0,0,0,7.5172e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147826,0,0,0
K05595,K05595: multiple antibiotic resistance protein,0,0.000327873,0.000679157,0.000651562,0.000875784,0.000539114,0.00100793,0.000737302,0.000711365,0.000999737,0.000512735,0.00110029,0.0011759,0.000892112,0,0.000835526,0.00103479,0.00123278,0.00120751,0.000869054,0.000775632,0.000629424,0.000607425,1.72712e-09
K06012,K06012: spore protease,0,0.000233779,0.000104073,0.000210787,5.93125e-05,0.000331957,6.61144e-05,0.000124621,7.93448e-05,4.42983e-05,0.000119498,2.98211e-05,0,0.000119159,0,9.06756e-05,6.8376e-05,3.7621e-05,0,8.41554e-05,0.000145284,0.000148921,0.000236505,0
K01297,K01297: muramoyltetrapeptide carboxypeptidase,0,0,0.000437972,0.000164875,0.000326725,0.000174783,0.000287638,0.000238332,0.000175245,0.000299774,0.000161073,0.000200088,0.000251401,0.000219351,0,0.000180351,0.000229481,0.00033889,0.000317505,0.000325806,9.8887e-05,7.23121e-05,8.40228e-05,0
K05603,K05603: formimidoylglutamate deiminase,0,0,0,1.32773e-05,2.86376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05601,K05601: hydroxylamine reductase,0,0,0,0,0,1.72443e-05,0,0,0,0,2.21419e-05,4.56129e-05,0,2.1274e-05,0,3.13638e-05,5.33245e-05,2.5388e-05,0,2.05261e-05,0,0,0,4.83048e-05
K02926,K02926: large subunit ribosomal protein L4,0.00170144,0.00226444,0.00100887,0.00108317,0.000673909,0.000845374,0.000864027,0.000555417,0.000641591,0.000941644,0.000713267,0.000441128,0.000742704,0.000731801,0,0.000522922,0.000669121,0.000602147,0.000629494,0.0010092,0.000952747,0.00118527,0.00109826,0.000655188
K05607,K05607: methylglutaconyl-CoA hydratase,0,0.000690108,0,0,2.20947e-05,3.17323e-05,0,0,0,5.03126e-05,0,0,0,0,0,0,0,0,0,0,6.64893e-05,0,0,0
K14541,K14541,0,0,0,0,0,4.15381e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14540,K14540,0,0,0.000288668,0.000542392,0.000249841,0.000454226,0.000295663,0.000182206,9.25105e-05,0.000157021,0.000473376,0.000351517,0.00018037,0.000261173,0,0.000327633,0.000201959,7.76796e-05,0.000337466,0.000256724,0.000203394,0.000622735,0.000440364,4.22864e-05
K11611,K11611: enoyl ACP reductase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7277e-05
K00216,K00216: 23-dihydro-23-dihydroxybenzoate dehydrogenase,0,0,0,0,2.55653e-05,5.77014e-05,0,4.02727e-05,0,0,0,0,9.76063e-05,0,0,0,0,0,0,0,0.00011347,0,0,3.04867e-05
K00215,K00215: dihydrodipicolinate reductase,0.000699403,0.000312321,0.000805582,0.000875008,0.000662976,0.00095628,0.00110162,0.000696024,0.000663397,0.00107031,0.000895523,0.000843759,0.000796048,0.000669688,0,0.00098451,0.000702523,0.000735349,0.00102591,0.000849833,0.000693692,0.000721905,0.000861248,0.000522704
K12529,K12529: putative selenate reductase FAD-binding subunit,0,0,0,0,0,2.98945e-05,0,4.05837e-05,0,0,0,0,0.000196721,0,0,0,0,0,0,0,5.87875e-05,0,0,0
K00210,K00210: prephenate dehydrogenase,0,0,0.000254166,0.000244365,0.000285595,9.03817e-05,0.000552231,0.000408996,0.000450565,0.000413854,0.000192988,0.000398002,0.000495629,0.000483177,0,0.000320716,0.000501909,0.000443548,0.000382101,0.000322747,0.000236981,0.000526726,0.000200686,0.000102094
K11904,K11904: type VI secretion system secreted protein VgrG,0,0,0,0,0,7.86508e-05,0.000124944,7.37155e-05,6.60488e-05,0,1.44811e-05,0,0.000151179,0,0,0,0,0,0,0,6.90013e-05,0,0,0
K13607,K13607,0,0,0,0,0,3.75859e-05,4.34879e-05,0,0,0,2.39026e-05,0,0,0,0,0,2.82565e-05,0,0,0,0,0,0,0
K01062,K01062: 1-alkyl-2-acetylglycerophosphocholine esterase,0,0,0,0,4.00353e-05,1.54854e-05,3.58341e-05,2.10224e-05,3.56292e-05,5.73291e-05,1.98391e-05,6.1372e-05,0,3.82081e-05,0,0,0,4.55967e-05,6.54667e-05,1.84324e-05,6.09039e-05,4.51229e-05,0,0
K01561,K01561: haloacetate dehalogenase,0,0,0,0,4.39708e-05,0,5.9132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02508e-05,0,0,0.000220131
K01560,K01560: 2-haloacid dehalogenase,0,0,3.70285e-05,0.000106118,8.95266e-05,0.000100298,7.55994e-05,0.000133617,8.06142e-05,6.43829e-05,0.000296321,0.000178047,0,8.18256e-05,0,0.000240745,4.90647e-05,4.83017e-05,0,0.00020264,6.42449e-05,9.5196e-05,0.00021995,0.000289823
K01567,K01567,0,0,0.000210225,0.000233286,0.000358512,0.000221471,0.000297506,0.00025981,0.000352978,0.000390159,0.000286805,9.94936e-05,0,0.000165337,0,0.000336536,0.000273387,0.000368475,9.35239e-05,0.000383157,0.000314186,0.00018253,0.000364609,0.000457646
K00218,K00218: protochlorophyllide reductase,0,0,0,0,2.22419e-05,0,5.97236e-05,0,0,0,0,3.40956e-05,8.49179e-05,3.18402e-05,0,4.57912e-05,0,0,0,3.07208e-05,0,0,0,0
K00219,K00219: 24-dienoyl-CoA reductase (NADPH2),0,0,9.63654e-05,0.000102862,0.000155786,9.99338e-05,0.000103417,0.000185747,0.0001557,8.77018e-05,0.000102088,0.00014385,0.000113899,5.51344e-05,0,0.000176876,0.000128938,0.000131592,4.87829e-05,6.6495e-05,0.000133817,3.25561e-05,3.72123e-05,6.71016e-05
K01035,K01035: acetate CoA-transferase beta subunit,0,0.000357544,0,0,0,0.000106727,0,4.8663e-05,0,0,0,4.62835e-05,0.000117941,4.34185e-05,0,0,0,5.2774e-05,0,0,7.08187e-05,0,0,0
K01034,K01034: acetate CoA-transferase alpha subunit,0,0.000357544,7.74919e-05,8.65719e-05,6.13727e-05,0.000138909,8.25669e-05,0,4.1623e-05,7.10017e-05,0,9.29898e-05,0.000117941,4.38168e-05,0,6.41932e-05,5.47966e-05,0.000106535,0,4.30664e-05,0,0.000105427,0.0001194,0
K01741,K01741: DNA-(apurinic or apyrimidinic site) lyase,0,0,2.59889e-05,3.90073e-05,4.14445e-05,4.80914e-05,0,3.26435e-05,0,0,3.08061e-05,0,0.000179404,2.96648e-05,0,0,3.64176e-05,8.0276e-05,0,9.35247e-05,0,0,8.00874e-05,0
K01740,K01740: O-acetylhomoserine (thiol)-lyase,0.000415374,0.000553088,0.0012775,0.00121895,0.000751358,0.000981079,0.00109843,0.00153349,0.00102007,0.00113211,0.0015295,0.00124339,0.00101958,0.0013821,0,0.00125121,0.00137446,0.00122031,0.000933346,0.00113446,0.0012784,0.00126665,0.00132714,0.00140427
K01031,K01031: 3-oxoadipate CoA-transferase alpha subunit,0,0,0,0,8.70785e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01746,K01746: formiminotetrahydrofolate cyclodeaminase,0,0,4.08216e-05,0.000120628,0.000129104,0.000115961,8.57275e-05,0,0,7.30496e-05,0.000143312,9.8837e-05,0.00024854,0,0,0.00013274,5.61075e-05,0.000222423,0,0,7.28518e-05,0.000110056,6.28979e-05,0
K01745,K01745: histidine ammonia-lyase,0,0.000316702,0.000540218,0.000487573,0.000441701,0.00023056,0.000418384,0.000206249,0.000415389,0.000655866,0.000170419,0.000299685,0.000200087,0.000316788,0,0.00034813,0.000297934,0.000509657,0.000515994,0.000462827,0.000322605,0.000389944,0.00040025,0.000132165
K01744,K01744: aspartate ammonia-lyase,0.00110602,0.000335586,0.000244444,0.000342984,0.000329916,0.000209251,0.000298816,0.000287289,0.000352756,0.000541559,0.000391955,0.000471838,0.000776499,0.000336568,0,0.000345171,0.000391865,0.000402028,0.000411236,0.000442177,0.000383551,0.00056955,0.00040557,0.000257362
K02030,K02030: polar amino acid transport system substrate-binding protein,0,0.00030746,0.00123648,0.00142112,0.00144806,0.00165857,0.000803101,0.00123304,0.000949291,0.000835656,0.00156793,0.00144017,0.000422889,0.00123244,0,0.000937352,0.00110018,0.000711906,0.00104924,0.000882658,0.00120366,0.00106173,0.00160671,0.00226082
K02031,K02031: peptide/nickel transport system ATP-binding protein,0,0.000680716,0.000514097,0.00125447,0.00148207,0.00180243,0.00076717,0.000959213,0.00125849,0.000313112,0.00162324,0.00139847,0.000569513,0.000661433,0,0.000701719,0.000958103,0.000449703,0.000833786,0.00108897,0.000881381,0.000585776,0.000910345,0.0019521
K02032,K02032: peptide/nickel transport system ATP-binding protein,0.000497049,0.00108215,0.000348157,0.00143161,0.00106085,0.00179869,0.00045821,0.00130108,0.00139544,0.000362042,0.00174558,0.000972163,0.000757741,0.000706484,0,0.000478473,0.000544762,0.000257459,0.000990587,0.000927938,0.00142567,0.000507927,0.000787331,0.00136245
K02033,K02033: peptide/nickel transport system permease protein,0,0.000503424,0.000388818,0.00136888,0.00133941,0.00180559,0.000549944,0.000943363,0.000955145,0.000519013,0.00188659,0.00121943,0.000747529,0.000837305,0,0.000502695,0.000913023,0.000411651,0.000694857,0.0010333,0.00124353,0.000559589,0.00096429,0.00133918
K01039,K01039: glutaconate CoA-transferase subunit A,0.000552968,0.000740787,2.61514e-05,1.95644e-05,2.08518e-05,2.38238e-05,5.59908e-05,3.28476e-05,2.78354e-05,4.74824e-05,0,3.18649e-05,0,0,0,0,0,0,0,8.63123e-05,4.75814e-05,0,4.0294e-05,0
K02035,K02035: peptide/nickel transport system substrate-binding protein,0.000317683,0.00116166,0.000306684,0.000762005,0.00126625,0.00142769,0.000581295,0.000815896,0.000928867,0.000288684,0.00138989,0.000951945,0.000898915,0.000422658,0,0.000385665,0.000575957,0.000214677,0.00092316,0.000947787,0.000754191,0.000360836,0.000667367,0.00143604
