ID	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat
K00507	K00507: stearoyl-CoA desaturase (delta-9 desaturase)	0	0	0	0	0	0	0	0	0	0	0	5.03158e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00504	K00504: peptidylglycine monooxygenase	0	0	0	0	1.58047e-05	0	0	0	0	6.89032e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09789	K09789: hypothetical protein	3.98124e-05	0	5.9057e-05	1.70608e-05	0	0	0	9.24045e-05	3.5891e-05	0.000106674	3.80386e-05	0	0	3.96316e-05	7.35063e-05	7.53887e-05	0	3.72446e-05	6.82779e-05	0.000105849	0.000142773	6.11306e-05	9.28934e-05	9.61713e-05	8.55411e-05	2.12142e-05	8.06017e-05	0.000118056	0.000315351
K01101	K01101: 4-nitrophenyl phosphatase	0.000229446	0	9.77784e-05	0.00012483	0.000269427	0.000159977	0.000208328	0.000143926	9.87682e-05	8.74499e-05	0.000108899	8.13829e-05	0.000265968	0.0001368	8.71865e-05	0.000123279	0	0.000279333	8.4431e-05	0.00011463	3.99841e-05	9.10524e-05	8.10199e-05	0.000101799	8.78196e-05	0.000137373	0	5.44757e-05	0
K01103	K01103: fructose-2,6-bisphosphatase	0	0	0	0	0	0	0	1.34096e-05	1.30156e-05	4.83174e-06	5.12981e-06	0	0	0	2.42096e-06	1.3608e-05	0	0	0	6.18167e-06	0	6.62182e-06	0	1.02056e-05	0	0	0	0	0
K12520	K12520: minor pilin subunit PapE	0	0	1.81848e-05	2.06828e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51515e-05	1.40272e-05	0	0	0	0	0	0	2.57178e-05	0	0	0
K01104	K01104: protein-tyrosine phosphatase	0.00166585	0	0.00159581	0.00192283	0.00204471	0.00195453	0.0020985	0.0015624	0.00168616	0.001716	0.00147245	0.00177535	0.00205302	0.00167099	0.00148741	0.0014745	0	0.00176544	0.0014976	0.00147596	0.00126731	0.0017738	0.00156723	0.0015601	0.00161029	0.00147183	0.0016688	0.00132698	0.00162622
K05592	K05592: ATP-dependent RNA helicase DeaD	0.000296038	0	0.000291266	0.000224685	0.000298421	0.000357577	0.000261444	0.000316071	0.00026244	0.000392941	0.000271588	0.000171144	0.000291949	0.000281728	0.000293828	0.000386523	0	0.000633659	0.000300472	0.000311443	0.000464252	0.000289401	0.000283277	0.000334068	0.000250185	0.000399192	0.00039528	0.000315994	0.000784655
K05593	K05593: aminoglycoside 6-adenylyltransferase	4.47147e-05	0	0.000102464	7.80561e-05	7.73721e-05	3.35473e-05	0.000166985	9.54234e-05	7.32249e-05	5.5556e-05	7.22541e-05	2.60604e-05	6.00361e-05	0.000113856	8.14169e-05	5.82219e-05	0	0.000199455	0.000121232	2.73948e-05	0.00014623	0.000103154	5.165e-05	6.63074e-05	7.34987e-05	0.000114598	8.39508e-05	8.93456e-05	0
K05590	K05590: ATP-dependent RNA helicase SrmB	2.93871e-05	0	2.24355e-05	1.74159e-05	2.01733e-05	3.2177e-05	4.27749e-05	0	5.92283e-06	4.39743e-06	4.68978e-06	1.65533e-05	0	4.83238e-06	4.06591e-06	0	0	3.63239e-05	1.77729e-05	2.33902e-05	0	0	8.35986e-06	9.53775e-06	5.28539e-06	2.13844e-05	0	0	2.05841e-05
K05591	K05591: ATP-independent RNA helicase DbpA	2.88538e-05	0	7.31749e-05	4.05052e-05	3.90974e-05	5.90656e-05	2.01493e-05	4.92022e-05	4.21212e-05	7.82435e-05	1.38022e-05	2.13424e-05	1.77899e-05	3.85376e-05	6.74142e-05	4.55228e-05	0	0.000107745	7.96987e-05	5.7575e-05	4.83487e-05	8.45401e-05	5.39978e-05	8.49541e-05	6.86828e-05	2.99181e-05	8.06522e-05	6.64353e-05	0.000118949
K05596	K05596: LysR family transcriptional regulator, chromosome initiation	4.12532e-05	0	4.10734e-05	1.16788e-05	4.30357e-05	4.5273e-05	2.9048e-05	0	8.31434e-06	1.2589e-05	0	2.32373e-05	0	0	0	1.19562e-05	0	5.09912e-05	7.9207e-06	8.1902e-06	0	8.52269e-06	0	6.67936e-06	1.48391e-05	1.4522e-05	0	0	0.000377515
K05597	K05597: glutamin-(asparagin-)ase	2.44893e-05	0	9.14343e-06	1.03995e-05	1.26083e-05	1.30943e-05	0	0	7.40353e-06	5.49678e-06	0	6.89722e-06	0	0	5.07377e-06	5.19418e-06	0	2.27025e-05	7.05301e-06	7.29298e-06	0	0	1.04496e-05	0	0	0	0	0	0
K05594	K05594: ElaB protein	0.000126964	0	9.48078e-05	7.18875e-05	0.000130735	9.05159e-05	0.000178801	0	5.11778e-05	3.79972e-05	0	4.76779e-05	4.00666e-05	0	0	0	0	0.000235401	4.87548e-05	2.52069e-05	0	0	0	2.0557e-05	2.23999e-05	4.4694e-05	0	0	0
K05595	K05595: multiple antibiotic resistance protein	0.000249998	0	0.000211008	0.00017326	0.000189218	0.000113014	0.000261228	0.000242525	0.000184243	0.000314365	0.000105848	5.82051e-05	8.11069e-05	0.000163642	0.000289975	0.000303984	0	0.000499409	0.000283512	0.000391579	0.000446024	0.000230916	0.000334156	0.000353317	0.000241851	0.000147631	0.000275158	0.000345733	1.72712e-09
K14548	K14548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68633e-06	0	0	0	0	0	0
K14541	K14541	0	0	0	0	0	2.5613e-06	0	9.82852e-07	0	0	0	0	0	0	0	0	0	0	0	0	5.77793e-06	0	0	0	0	0	0	0	0
K14540	K14540	0.00043569	0	0.000459235	0.00047206	0.000430769	0.00062436	0.000537563	0.00055325	0.000527029	0.000467179	0.000607863	0.000633076	0.000463393	0.000494347	0.000581572	0.000418177	0	0.000388187	0.000467856	0.000446694	0.000436724	0.000482005	0.000613068	0.000529657	0.000514631	0.000522032	0.000574739	0.00050799	4.22864e-05
K12529	K12529: putative selenate reductase FAD-binding subunit	1.68304e-05	0	1.25678e-05	1.42942e-05	1.73303e-05	1.79983e-05	3.5553e-05	0	1.01762e-05	7.55541e-06	0	9.48033e-06	0	0	0	0	0	3.12049e-05	9.69446e-06	2.00487e-05	0	0	0	0	0	1.7774e-05	0	0	0
K12528	K12528: putative selenate reductase molybdopterin-binding subunit	2.7144e-05	0	4.07503e-05	5.38204e-05	3.74832e-05	5.83111e-05	5.77125e-05	3.43381e-05	6.03635e-05	1.84053e-05	3.46448e-05	6.13546e-05	3.5132e-05	2.94793e-05	2.81989e-05	3.26654e-05	0	1.69082e-05	3.143e-05	3.50876e-05	3.24825e-05	4.49902e-05	2.52152e-05	3.96371e-05	2.68859e-05	3.82566e-05	3.0948e-05	3.07827e-05	0
K02456	K02456: general secretion pathway protein G	5.85218e-05	0	4.29488e-05	4.81537e-05	0.000120087	6.08462e-05	0.000120193	0	1.64729e-05	1.22304e-05	0	3.1937e-05	0	0	0	1.42241e-05	0	0.000161619	3.30093e-05	3.41989e-05	0	1.72083e-05	0	2.97738e-05	1.6e-05	6.05199e-05	0	0	0.000807407
K02457	K02457: general secretion pathway protein H	2.57934e-05	0	5.54777e-05	4.17044e-05	0.000101206	5.25114e-05	0.000103729	0	1.40944e-05	1.04645e-05	0	2.76596e-05	0	0	0	0	0	0.000138306	2.82843e-05	2.92467e-05	0	0	0	0	1.46087e-05	2.72395e-05	0	0	0
K02106	K02106: short-chain fatty acids transporter	6.12072e-05	0	1.46799e-05	3.27114e-05	1.00415e-05	1.04286e-05	2.06001e-05	4.96688e-05	2.35233e-05	2.63606e-05	2.80197e-05	3.3233e-05	9.41163e-06	3.40602e-05	2.85362e-05	2.47695e-05	0	1.80807e-05	1.13237e-05	5.7899e-05	4.77993e-05	2.41003e-05	1.2682e-05	2.86491e-05	2.12398e-05	0	0	3.35746e-05	0
K02455	K02455: general secretion pathway protein F	1.09525e-05	0	4.03111e-05	3.70034e-05	5.55277e-05	5.75858e-05	4.5761e-05	2.7171e-05	1.98041e-05	2.88207e-05	2.58053e-05	4.26233e-05	0	2.68746e-05	2.69109e-05	3.65464e-05	0	6.01697e-05	3.12631e-05	3.84918e-05	2.57111e-05	2.6686e-05	4.60824e-05	3.15434e-05	1.16582e-05	4.56954e-05	4.35452e-05	1.82065e-05	0
K02452	K02452: general secretion pathway protein C	1.60852e-05	0	5.45438e-05	2.48462e-05	4.87977e-05	3.12846e-05	6.17982e-05	0	7.96271e-06	5.91195e-06	0	3.40174e-05	0	0	0	5.5865e-06	0	8.05665e-05	2.61161e-05	1.74243e-05	0	0	0	7.81315e-06	0	1.39078e-05	0	0	0
K02453	K02453: general secretion pathway protein D	5.26023e-05	0	2.60656e-05	2.93007e-05	2.71542e-05	6.86817e-05	4.88184e-05	1.27009e-05	3.84207e-06	3.66953e-05	7.71494e-06	1.82474e-05	3.08607e-05	1.24394e-05	6.58222e-06	1.83547e-05	0	7.3858e-05	2.8176e-05	4.58194e-05	0.000109621	6.22207e-06	4.30562e-06	4.02049e-05	6.97623e-06	4.18219e-05	1.3785e-05	1.354e-05	4.2508e-06
K02102	K02102: arabinose operon protein AraM	2.21273e-05	0	0	3.73533e-05	2.27845e-05	2.36627e-05	2.33712e-05	1.38913e-05	1.99847e-05	1.48999e-05	1.56208e-05	2.46957e-05	2.13553e-05	3.84962e-05	2.26648e-05	1.40209e-05	0	0	1.26657e-05	1.96863e-05	0	1.37142e-05	2.36044e-05	1.0748e-05	0	3.50519e-05	0	9.14161e-06	0
K02451	K02451: general secretion pathway protein B	3.11363e-05	0	5.08604e-05	2.64443e-05	5.54391e-05	3.32969e-05	6.57732e-05	0	0	1.39775e-05	0	3.03273e-05	0	0	0	0	0	9.98235e-05	0	0	0	0	0	0	0	3.2882e-05	0	0	0
K02108	K02108: F-type H+-transporting ATPase subunit a	0.000783022	0	0.000786749	0.000897034	0.000950471	0.000858086	0.000564207	0.000867694	0.000898676	0.000857351	0.000837254	0.000852295	0.000905537	0.000727367	0.000857163	0.000926039	0	0.000505328	0.000762099	0.000942749	0.001069	0.000709811	0.000958904	0.000834612	0.000874188	0.000882433	0.00115506	0.000894012	0.000285209
K02109	K02109: F-type H+-transporting ATPase subunit b	0.00093986	0	0.000830702	0.00119669	0.00116365	0.00109277	0.000881307	0.000991869	0.00103862	0.00104773	0.000986504	0.001059	0.00120442	0.000855569	0.00104032	0.00111021	0	0.000730337	0.000810706	0.00120866	0.00110364	0.000953761	0.00103847	0.00102879	0.00105885	0.00110576	0.00106781	0.0010874	0
K02458	K02458: general secretion pathway protein I	3.02715e-05	0	5.33653e-05	8.59083e-05	0.000141854	0.00010817	0.00013881	0	2.14281e-05	1.59094e-05	0	3.70142e-05	6.34186e-05	0	0	0	0	0.000188628	3.78502e-05	2.11081e-05	0	0	0	0	1.86667e-05	6.93953e-05	0	0	0
K05339	K05339: holin-like protein LrgB	7.4936e-05	0	8.53699e-05	1.63815e-05	0.000135634	0.000179932	0.000201108	7.85361e-05	5.6717e-05	0.00012696	0.000133465	0.000136652	5.52859e-05	7.48816e-05	3.07914e-05	6.47133e-05	0	0.000140387	8.65527e-05	7.86963e-05	4.51324e-05	0.000150715	6.39822e-05	7.25539e-05	0.000151838	7.83571e-05	0.000127689	9.57405e-05	5.60659e-07
K08137	K08137: MFS transporter, SP family, galactose:H+ symporter	4.50543e-05	0	2.72333e-05	1.55624e-05	1.86853e-05	1.94055e-05	1.8947e-05	1.17367e-05	5.42316e-06	8.24384e-06	0	1.52739e-05	2.65706e-05	9.26459e-06	1.93594e-05	1.57562e-05	0	3.36448e-05	5.1664e-06	2.1999e-05	2.21386e-05	5.6878e-06	8.01735e-06	1.36703e-05	1.97898e-05	9.47218e-06	1.28343e-05	1.57346e-05	5.52613e-05
K08135	K08135: collagen, type XV, alpha	3.49287e-06	0	0	0	0	0	0	0	0	0	0	0	3.371e-06	0	0	0	0	0	2.01192e-06	0	0	2.16483e-06	0	0	0	0	0	0	0
K03851	K03851: taurine-pyruvate aminotransferase	0	0	0	0	0	0	0	3.93987e-06	0	0	0	0	0	0	3.87354e-06	4.01985e-06	0	0	0	5.58345e-06	0	1.73685e-05	0	4.55348e-06	0	0	0	0	1.56638e-06
K03852	K03852: sulfoacetaldehyde acetyltransferase	0	0	0	0	0	0	0	6.25967e-06	4.5758e-06	1.32638e-05	3.49172e-06	4.12675e-06	0	0	0	3.2103e-06	0	0	0	0	0	0	3.22921e-06	3.67598e-06	3.95294e-06	0	0	6.41183e-06	0
K03855	K03855: ferredoxin like protein	0.000272473	0	0.000169906	0.000193246	0.000280566	0.000243322	0.000482646	3.81716e-05	8.2659e-05	0.000122317	0.00012851	0.000154546	8.85684e-05	0.000112563	3.7529e-05	0	0	0.000253469	0.000157492	5.40955e-05	0	2.8439e-05	1.91755e-05	4.41165e-05	2.47579e-05	9.49171e-05	6.13931e-05	0	0.00071369
K03857	K03857: phosphatidylinositol glycan, class A	0	0	0	0	0	0	0	0	0	4.2083e-06	0	0	0	4.34046e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03856	K03856: 3-deoxy-7-phosphoheptulonate synthase	0.000442101	0	0.000371349	0.0004541	0.000324553	0.000442694	0.000349603	0.000472076	0.000577687	0.000340001	0.000418317	0.000536836	0.0006505	0.000521609	0.000506592	0.000451156	0	0.000214314	0.000482595	0.000397547	0.000216618	0.000452756	0.000314374	0.000462724	0.000398515	0.000569558	0.000316231	0.000396985	9.35566e-05
K02196	K02196: cytochrome c-type biogenesis protein CcmD	0.000130383	0	8.93307e-05	5.28887e-05	0.000128245	0.000135146	0.000131547	0	3.76523e-05	2.79551e-05	0	6.73854e-05	0	0	0	0	0	0.000115459	3.58696e-05	3.70901e-05	0	0	0	0	0	0	0	0	0
K13018	K13018	4.49391e-05	0	3.37312e-05	1.90835e-05	0	4.81819e-05	0	7.55019e-05	8.18682e-05	6.07889e-05	6.45325e-05	3.81015e-05	4.37117e-05	4.49527e-05	3.70448e-05	7.66036e-05	0	0	5.21801e-05	5.374e-05	5.42052e-05	5.57774e-05	3.84504e-05	7.63464e-05	3.64967e-05	4.74599e-05	0	5.68216e-05	1.53057e-05
K13019	K13019	1.20085e-05	0	0	0	0	0	0	5.04693e-06	6.91774e-06	1.5995e-05	5.77103e-06	0	0	0	9.78709e-06	2.00374e-05	0	0	1.39493e-05	1.40264e-05	2.9292e-05	7.44271e-06	1.50894e-05	2.34003e-05	6.60672e-06	1.26818e-05	0	1.98957e-05	9.2481e-05
K08131	K08131: collagen, type IX, alpha	6.31752e-06	0	0	0	0	0	0	0	7.25145e-06	1.62395e-06	3.05077e-06	0	0	3.16531e-06	1.91616e-06	0	0	0	3.63894e-06	0	0	7.83101e-06	0	0	0	0	0	0	0
K13010	K13010	0.000120513	0	8.54506e-05	0.000138244	9.97524e-05	0.000166602	0.000104409	0.000178766	0.000110703	0.00014553	0.00011905	0.000101682	8.82579e-05	0.000134782	0.000195343	0.000178017	0	8.87557e-05	0.000170955	0.000178852	0.00022857	0.000175055	0.000199458	0.000234086	0.000150024	0.000161511	0.000173875	0.000155608	5.18691e-05
K13012	K13012	0.000170097	0	0.000194744	0.000253546	0.000219829	0.000205402	0.00022549	0.000213505	0.000259448	0.000209346	0.000358602	0.000227752	0.000102116	0.000193491	0.000205625	0.000285573	0	0.000204218	0.000232986	0.000261754	0.000206007	0.000188736	0.000274168	0.000305151	0.00030637	0.000198729	0.000322343	0.000191897	0.000252328
K13013	K13013	6.52559e-06	0	2.52438e-05	1.12255e-05	1.36098e-05	0	0	1.69325e-05	0	2.94707e-06	1.28199e-05	0	0	9.96723e-06	5.32897e-06	2.83609e-06	0	1.25498e-05	6.26153e-06	0	4.8371e-05	8.18821e-06	2.80124e-06	9.89962e-06	1.45388e-05	0	8.95509e-06	2.24246e-05	0
K13014	K13014	1.45789e-05	0	3.27699e-05	1.2382e-05	2.99738e-05	1.55906e-05	3.07969e-05	0	8.81492e-06	6.54468e-06	0	2.46638e-05	0	0	0	0	0	5.40609e-05	8.39758e-06	2.61379e-05	0	0	0	0	7.86622e-06	1.5345e-05	0	1.2477e-05	0.000228591
K13015	K13015	3.92969e-05	0	7.44867e-06	2.51691e-05	4.07863e-05	1.06186e-05	2.09278e-05	3.74107e-05	2.36664e-05	1.32427e-05	2.36367e-05	3.91073e-05	3.84203e-05	5.37054e-05	8.21535e-06	1.25425e-05	0	0	6.21613e-05	0	0	1.8339e-05	0	2.86815e-05	1.06076e-05	0	0	2.49388e-05	8.62129e-05
K13016	K13016	0	0	1.03009e-05	0	0	1.47518e-05	0	5.85317e-06	8.4476e-06	2.48532e-05	1.3091e-05	0	0	6.90337e-06	1.73007e-05	2.90994e-05	0	0	7.99638e-06	1.63066e-05	3.37045e-05	0	4.12683e-05	6.06511e-05	0	0	0	2.35246e-05	0
K13017	K13017	2.36267e-05	0	4.44479e-05	1.02271e-05	2.47987e-05	3.80749e-05	4.99095e-05	7.6945e-05	6.9428e-05	4.79777e-05	4.54948e-05	8.0992e-05	2.29919e-05	7.57302e-05	4.63525e-05	8.44798e-05	0	0	5.50749e-05	5.62524e-05	8.62794e-05	6.66052e-05	4.55912e-05	9.22096e-05	3.64475e-05	3.78056e-05	3.29013e-05	6.04944e-05	0.000241442
K04881	K04881: potassium voltage-gated channel, Shaker-related subfamily A, member	0	0	0	0	8.76672e-06	0	0	3.24829e-06	0	0	3.68364e-06	0	0	3.85562e-06	3.19361e-06	0	0	0	5.03181e-06	0	0	0	0	0	0	0	0	0	0
K04885	K04885: potassium voltage-gated channel, Shab-related subfamily B, member 1	0	0	3.46283e-06	0	0	0	0	1.94897e-06	0	6.52976e-06	0	0	0	0	6.01034e-06	8.40624e-06	0	0	2.67114e-06	8.6635e-06	0	2.87415e-06	8.18538e-06	4.81281e-06	2.50212e-06	0	0	3.92894e-06	0
K05846	K05846: osmoprotectant transport system permease protein	0.000345512	0	0.000375306	0.000127284	0.000353142	0.000371839	0.000376723	0.000130658	0.000111817	0.000174171	0.000108688	0.0001616	0.000324959	0.000236802	0.000114889	0.000216697	0	0.000726249	0.000259418	0.000163627	8.31327e-05	0.000241682	6.11016e-05	0.000104218	0.000103411	0.000217684	0	5.21999e-05	0.000497933
