Gene,NAME,Category,SuperPathway,SubPathway,KOAnnot,ESM5GEYX,ESM5GEYY,ESM5GEZ1,ESM5MEAB,ESM5MEB9,ESM5MEC7,ESM5MEDP,ESM5MEE2,ESM5MEEJ,ESM718U9,ESM7F5AE,HSM5MD6G,HSM5MD6S,HSM67VDR,HSM67VDT,HSM6XRQC,HSM6XRTE,HSM7CZ2X,HSM7J4JV,HSMA33J1
K01103,K01103: fructose-26-bisphosphatase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,PFKFB3; 6-phosphofructo-2-kinase / fructose-26-biphosphatase 3&#160;,0,1.64E-05,0,0,2.6E-05,0,0,0,0,0,0,0,0,0,0,0,2.26E-05,0,0,0
K13016,K13016,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase,4.01E-05,2.13E-05,0,0,0,2.85E-05,9.57E-05,0,0,0,3.06E-05,0,0,0,0,0.000104914,8.73E-05,0,0,8.02E-05
K13017,K13017,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,wbpE wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase,0.000131999,1.81E-05,6.34E-05,4.84E-05,0,7.29E-05,0.000206695,2.78E-05,8.38E-05,0.000138078,7.76E-05,0,3.73E-05,3.17E-05,0.000155243,8.89E-05,0,8.23E-05,0,7.05E-05
K12308,K12308: beta-galactosidase,Metabolism,Carbohydrate metabolism,Galactose_metabolism,bgaB lacA; beta-galactosidase,0.000722055,0.000357765,0.00037062,0.000459295,0.000703497,0.000573048,0.000595888,0.000712654,0.000665095,0.000650953,0.000577533,0,0.000646725,0.000764204,0.000661592,0.000872972,0.000593428,0.00036351,0.000780825,0.00033242
K03077,K03077: L-ribulose-5-phosphate 4-epimerase,Metabolism,Carbohydrate metabolism,Ascorbate_and_aldarate_metabolism,ulaF sgaE; L-ribulose-5-phosphate 4-epimerase,0.000165039,0.000232475,6.82E-05,0.000315719,0.000323135,0.000348728,0.000334093,0.000174412,0.000270361,0.000328859,0.00033573,0,0.000302584,0.000258292,0.000348211,0.0002884,0.0002436,0.000196552,9.94E-05,0.000113355
K03079,K03079: L-ribulose-5-phosphate 3-epimerase,Metabolism,Carbohydrate metabolism,Ascorbate_and_aldarate_metabolism,ulaE sgaU; L-ribulose-5-phosphate 3-epimerase,2.2E-05,4.67E-05,0,0,7.35E-05,3.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K03078,K03078: 3-dehydro-L-gulonate-6-phosphate decarboxylase,Metabolism,Carbohydrate metabolism,Ascorbate_and_aldarate_metabolism,ulaD sgaH; 3-dehydro-L-gulonate-6-phosphate decarboxylase,2.89E-05,0.000152521,7.14E-05,0,0,8.21E-05,0,0,0,0,0,0,0,0,0,0,0,7.02E-05,0,0
K12454,K12454: CDP-paratose 2-epimerase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,rfbE; CDP-paratose 2-epimerase,0,1.97E-05,2.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,9.66E-05,0,0,0,0
K12452,K12452: CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,rfbH; CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase,9.74E-05,0.000120022,0.000229465,4E-05,4.72E-05,9.97E-05,0,0.000243692,4.59E-05,6.02E-05,4.29E-05,0,9.13E-05,5.25E-05,2.56E-05,0.000224007,0.00010291,0.000137804,5.02E-05,0
K00983,K00983: N-acylneuraminate cytidylyltransferase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,E2.7.7.43 neuA CMAS; N-acylneuraminate cytidylyltransferase,0.000277948,0.000173756,0.000225847,0.000296978,0.000186783,0.000290098,6.58E-05,0.000238217,0.000293317,0.000187719,0.000519301,0,0.000154972,0.00038402,0.000257169,0.000226285,0.000411971,2.84E-05,5.83E-05,5.61E-05
K07516,K07516,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,fadN; 3-hydroxyacyl-CoA dehydrogenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K10218,K10218: 4-hydroxy-4-methyl-2-oxoglutarate aldolase,Metabolism,Carbohydrate metabolism,C5-Branched_dibasic_acid_metabolism,ligK galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase,0,5.72E-05,3.37E-05,0,0,0,0,0,0,0,4.15E-05,0,0,0,0,0,0,0,0,0
K01915,K01915: glutamine synthetase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,glnA GLUL; glutamine synthetase,0.00164238,0.00115195,0.000897326,0.00116679,0.00133413,0.00104662,0.00139737,0.00144244,0.00127043,0.000985912,0.00135395,0,0.00131688,0.00113613,0.00129514,0.00156902,0.00151328,0.00108305,0.00147872,0.00155707
K00172,K00172: pyruvate ferredoxin oxidoreductase gamma subunit,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,porG; pyruvate ferredoxin oxidoreductase gamma subunit,0.00013461,3.55E-05,0.0002282,0,0.000108119,7.29E-05,0,2.93E-05,0.000108243,0,4.87E-05,0,7.19E-05,9.7E-05,0.000119677,0,4.83E-05,0,0.000240015,0
K00171,K00171: pyruvate ferredoxin oxidoreductase delta subunit,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,porD; pyruvate ferredoxin oxidoreductase delta subunit,0,0,7.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22E-05,0,0,0
K00170,K00170: pyruvate ferredoxin oxidoreductase beta subunit,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,porB; pyruvate ferredoxin oxidoreductase beta subunit,0.000141198,4.02E-05,0.00012142,0,3.37E-05,5.71E-05,0,0,9.63E-05,0,5.84E-05,0,8.86E-05,7.45E-05,0,9.71E-05,5.77E-05,9.57E-05,7.28E-05,8.18E-05
K00177,K00177: 2-oxoglutarate ferredoxin oxidoreductase subunit gamma,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,korC oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma,0.000416234,0.000404728,0.000290313,0.000694578,0.000406512,0.000443453,0.000335787,0.000219217,0.000395897,0.000281495,0.000632756,0,0.000531698,0.000453868,0.000632268,0.000361695,0.000452972,0.000336486,0.000373946,0.000633852
K00176,K00176: 2-oxoglutarate ferredoxin oxidoreductase subunit delta,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,korD oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta,0.000416504,0.000800836,0.000308349,0.00118818,0.000695214,0.00082983,0.00162361,0.000393301,0.000812912,0.000339671,0.000759137,0,0.00128469,0.00125376,0.00121808,0.000872889,0.000858651,0.000400685,0.000894539,0.000515823
K00175,K00175: 2-oxoglutarate ferredoxin oxidoreductase subunit beta,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,korB oorB; 2-oxoglutarate ferredoxin oxidoreductase subunit beta,0.000802354,0.000594288,0.000305038,0.000746845,0.000621893,0.000713788,0.00113764,0.000404067,0.000805428,0.00053127,0.00100129,0,0.000750623,0.000737213,0.00100101,0.0011497,0.000737262,0.0004688,0.0011478,0.000725055
K00174,K00174: 2-oxoglutarate ferredoxin oxidoreductase subunit alpha,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,korA oorA; 2-oxoglutarate ferredoxin oxidoreductase subunit alpha,0.000723024,0.000468189,0.000293159,0.00077242,0.000492426,0.000588331,0.000734897,0.000268819,0.000631636,0.000760196,0.000736281,0,0.000544634,0.000601998,0.000890771,0.000701823,0.000707972,0.000429794,0.00053483,0.000679142
K05606,K05606: methylmalonyl-CoA epimerase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,MCEE epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase,0,0,0.000113863,0,0,0,0,7.29E-05,0,0,7.02E-05,0,0,0,0,0,0,0,0,0
K01825,K01825: dodecenoyl-CoA delta-isomerase,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase,8.15E-06,5.51E-05,4.29E-05,0,2.73E-05,2.45E-05,0,0,0,0.000104885,0,0,0,0,1.48E-05,4.25E-05,0,2.1E-05,0,0
K01820,K01820,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,rhaA; L-rhamnose isomerase / sugar isomerase,0,0,0,0,3.65E-05,0,0,0,0,0,1.76E-05,0,0,0,0,0,3.2E-05,0,0,0
K04072,K04072: acetaldehyde dehydrogenase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase,0.000229255,0.00011168,0.000185412,0.000184968,0.000155536,0.000151985,5.24E-05,0.000147535,6.91E-05,5.66E-05,6.46E-05,0,9.43E-05,3.91E-05,0.000206815,0.000261563,0.00015711,0.000224375,0.000104092,0.000189659
K04073,K04073: acetaldehyde dehydrogenase,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,mhpF; acetaldehyde dehydrogenase,0,2.11E-05,0,0,3.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05342,K05342: alphaalpha-trehalose phosphorylase,Metabolism,Carbohydrate metabolism,Starch_and_sucrose_metabolism,E2.4.1.64; alphaalpha-trehalose phosphorylase,0,0,9.27E-06,0,0,0,0,0,0,0,0,0,1.65E-05,0,0,0,0,0,0,0
K01568,K01568: pyruvate decarboxylase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,E4.1.1.1 pdc; pyruvate decarboxylase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00209,K00209: enoyl-[acyl-carrier-protein] reductase (NADPH2 B-specific),Metabolism,Carbohydrate metabolism,Butanoate_metabolism,fabV ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+),0,0,0,0,0,0,0,0,0,7.31E-06,0,0,0,0,0,0,0,0,0,0
K01006,K01006: pyruvateorthophosphate dikinase,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,ppdK; pyruvate orthophosphate dikinase,0.000590104,0.000442016,0.000307395,0.00031628,0.00055973,0.00037573,0.000605994,0.00029657,0.00046306,0.000619095,0.000538907,0,0.000442263,0.000470974,0.000520448,0.000497998,0.000556348,0.000337726,0.000546523,0.000655265
K01007,K01007: pyruvate water dikinase,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,pps ppsA; pyruvate water dikinase,7.03E-05,0.000147672,0.000141965,8.91E-05,9.9E-05,0.000111148,1.86E-05,0.000100404,3.81E-05,0.000158718,8.18E-05,0,3.42E-05,4.26E-05,1.44E-05,8.2E-05,6.57E-05,0.000132006,2.85E-05,7.97E-05
K01649,K01649: 2-isopropylmalate synthase,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,leuA; 2-isopropylmalate synthase,0.000700995,0.00058574,0.00059744,0.000614958,0.000600896,0.000555668,0.000587828,0.000510452,0.000476261,0.000496603,0.000773181,0,0.000719728,0.000493366,0.000578622,0.00077582,0.000756761,0.000554938,0.0007522,0.000752151
K01640,K01640: hydroxymethylglutaryl-CoA lyase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E4.1.3.4 HMGCL hmgL; hydroxymethylglutaryl-CoA lyase,2.09E-05,4.35E-05,7.46E-05,0.000114505,0,5.62E-05,0,3.27E-05,3.38E-05,0,3.05E-05,0,0,3.87E-05,0,0,3.09E-05,0,0.00015017,8.65E-05
K01641,K01641: hydroxymethylglutaryl-CoA synthase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E2.3.3.10; hydroxymethylglutaryl-CoA synthase,1.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01647,K01647: citrate synthase,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,CS gltA; citrate synthase,0.000680246,0.000417395,0.00061533,0.000555609,0.000539095,0.000513867,0.00068219,0.000785209,0.000659369,0.000350752,0.000722577,0,0.000668836,0.000519772,0.000610554,0.000583905,0.000577649,0.000307942,0.000798283,0.000770402
K02774,K02774: PTS system galactitol-specific IIB component,Metabolism,Carbohydrate metabolism,Galactose_metabolism,PTS-Gat-EIIB gatB; PTS system galactitol-specific IIB component,0,0,0.000243833,0,0,0,0,0.000100198,0,0.000544942,0,0,0,0,0,0,0,0.000479497,0,0
K00917,K00917: tagatose 6-phosphate kinase,Metabolism,Carbohydrate metabolism,Galactose_metabolism,lacC; tagatose 6-phosphate kinase,7.74E-05,0.000108499,0.00012432,4.09E-05,4.87E-05,0.000141424,0,6.79E-05,2.34E-05,0.000178752,6.7E-05,0,6.5E-05,0.000105474,0,0,5.03E-05,0.000226978,0,3.16E-05
K13919,K13919,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,pduD; propanediol dehydratase medium subunit,0,5.96E-05,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000149468,0,6.86E-05,0,0
K00028,K00028: malate dehydrogenase (decarboxylating),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.39; malate dehydrogenase (decarboxylating),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01903,K01903: succinyl-CoA synthetase beta subunit,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,sucC; succinyl-CoA synthetase beta subunit,9.97E-05,0.000120522,8E-05,4.77E-05,0.000220115,0.000115701,0.00019967,0.00010445,0.000108388,0.000462607,0.000149208,0,7.31E-05,9.36E-05,0.000119957,8.57E-05,0.000165163,0.00015802,0.000119065,6.86E-05
K01902,K01902: succinyl-CoA synthetase alpha subunit,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,sucD; succinyl-CoA synthetase alpha subunit,0.000129193,0.000201864,0.000156387,0.000123779,0.000177596,8.85E-05,0.000258208,0.000132681,0.000135996,0.00051773,0.000193691,0,4.47E-05,0.000116553,0.000151544,0.000106623,0.000184319,0.000156612,7.55E-05,4.51E-05
K01908,K01908: propionyl-CoA synthetase,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,E6.2.1.17 prpE; propionyl-CoA synthetase,0,0,2.46E-05,0,3.34E-05,1.42E-05,0,0,0,4.04E-05,0,0,0,0,0,0,0,0.000120919,0,0
K00690,K00690: sucrose phosphorylase,Metabolism,Carbohydrate metabolism,Starch_and_sucrose_metabolism,E2.4.1.7; sucrose phosphorylase,9.76E-05,1.21E-05,0.000100515,0,8.17E-05,6.74E-05,3.15E-05,7.55E-05,1.85E-05,0.000179246,5.44E-05,0,0.00010101,8.93E-05,4.37E-05,0,0.00012817,0.000111179,8.07E-05,0.000102152
K00691,K00691: maltose phosphorylase,Metabolism,Carbohydrate metabolism,Starch_and_sucrose_metabolism,E2.4.1.8 mapA; maltose phosphorylase,8.25E-05,2.64E-05,4.09E-05,4.65E-05,1.43E-05,6.97E-05,5.95E-05,1.35E-05,5.36E-05,0.000165209,7.47E-05,0,3.56E-05,3.04E-05,7.52E-05,0.000128095,7.19E-05,0,5.85E-05,6.72E-05
K00697,K00697: alphaalpha-trehalose-phosphate synthase (UDP-forming),Metabolism,Carbohydrate metabolism,Starch_and_sucrose_metabolism,otsA; trehalose 6-phosphate synthase,0.000172183,6.77E-05,5.31E-05,0.000143336,7.86E-05,0.000114894,0.000263369,6.61E-05,0.000122744,0.00027665,0.000114625,0,0.000128215,0.000109552,0.00016729,8.73E-05,4.92E-05,9.28E-05,0.00012053,6.9E-05
K00523,K00523: CDP-4-dehydro-6-deoxyglucose reductase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,ascD ddhD rfbI; CDP-4-dehydro-6-deoxyglucose reductase,0,0,0,0,0,0,0,2.96E-05,0,0,0,0,0,0,0,0,0,0,0,0
K01835,K01835: phosphoglucomutase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,pgm; phosphoglucomutase,0.000241838,0.000203338,0.000126493,6.41E-05,7.32E-05,0.000113312,0.000131857,0.000143881,0.000139813,9.12E-05,8.79E-05,0,7.16E-05,8.18E-05,0.000182884,0.000117996,0.000199565,0.000305967,0.000206348,0.000191013
K01834,K01834: phosphoglycerate mutase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,PGAM gpmA; 23-bisphosphoglycerate-dependent phosphoglycerate mutase,0.00225493,0.00208372,0.00187105,0.00220974,0.00201948,0.00162189,0.00197372,0.00193253,0.00205421,0.00202112,0.00188488,0,0.00182209,0.00195109,0.0020987,0.00157361,0.00223283,0.00173276,0.00241031,0.00234266
K00029,K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.40 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),0.000281433,0.000237599,8.69E-05,0.000383141,0.000249402,0.000228391,0.000329624,0.000109312,0.000237938,0.000545144,0.000225978,0,0.000126008,0.000188444,0.000340065,0.000343274,0.000240192,0.000159569,0.000376824,0.000238521
K00023,K00023: acetoacetyl-CoA reductase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,E1.1.1.36 phbB; acetoacetyl-CoA reductase,5.06E-05,5.4E-05,9.48E-05,0,0,7.3E-05,0.000122535,8.25E-05,8.52E-05,0,0.000116833,0,0.000168024,0,9.19E-05,0,0.000111486,0,9.17E-05,5.2E-05
K00239,K00239: succinate dehydrogenase flavoprotein subunit,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,sdhA frdA; succinate dehydrogenase / fumarate reductase flavoprotein subunit,0.00033717,0.000307916,0.00012955,0.000375842,0.000279855,0.000342438,0.00040165,0.000163169,0.000439436,0.000517773,0.000270071,0,0.000277733,0.00026532,0.000402945,0.000468904,0.000329992,0.000316419,0.000457373,0.000250517
K00830,K00830: serine--pyruvate aminotransferase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase,0,0,1.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08322,K08322: starvation sensing protein RspB,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,rspB; L-gulonate 5-dehydrogenase,9.21E-05,1.95E-05,6.85E-05,0,6.64E-05,5.23E-05,4.48E-05,0.000204147,0.000120339,7.51E-05,5.64E-05,0,0.000161382,6.92E-05,3.36E-05,0,5.43E-05,8.98E-05,0,7.6E-05
K08323,K08323: starvation sensing protein RspA,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,rspA manD; mannonate dehydratase,6.17E-05,4.89E-05,0.00012988,4.2E-05,0,4.3E-05,3.81E-05,0.000193799,2.46E-05,0.000180709,4.7E-05,0,0,2.83E-05,5.49E-05,8.14E-05,0,0.000144695,0,3.11E-05
K08324,K08324: aldehyde dehydrogenase family protein,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,sad; succinate-semialdehyde dehydrogenase,0,1.44E-05,5.04E-05,0,0,5.8E-05,0,0,0,5.51E-05,0,0,0,0,0,0,0,3.3E-05,0,0
K08325,K08325: NADP-dependent alcohol dehydrogenase,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,yqhD; NADP-dependent alcohol dehydrogenase,0.000380389,0.000323597,9.71E-05,0.000132422,0.000187968,0.000252318,0.000348966,0.00022393,0.000382519,0.000377265,0.000270837,0,0.000317678,0.000270935,0.000378012,0.000338026,0.000208799,0.000271349,0.000391952,0.000284936
K02472,K02472: UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase,0.000154981,0.00019769,0.000113175,0.00013382,0.00015603,0.000263032,0.000262533,7.41E-05,0.000252805,0.000310491,0.000306072,0,0.000102603,0.000291018,0.000253869,0.000241162,0.000272751,0.000300303,0.000224492,0.00022361
K02474,K02474: UDP-N-acetyl-D-galactosamine dehydrogenase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase,0.000294456,0.000156767,0.000145224,0.000335162,0.000122529,0.00027291,0.00039102,9.29E-05,0.000167254,6.04E-05,0.000334257,0,9.77E-05,0.000164867,0.000454986,0.000305263,0.000215889,0.000286957,0.000264521,9.02E-05
K01659,K01659: 2-methylcitrate synthase,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,prpC; 2-methylcitrate synthase,2.77E-05,0,3.54E-05,3.95E-05,7.13E-05,8.53E-05,3.35E-05,2.18E-05,4.51E-05,0.000127376,2.1E-05,0,3.03E-05,2.58E-05,2.51E-05,7.21E-05,0,0.00011284,4.97E-05,5.68E-05
K01653,K01653: acetolactate synthase I/III small subunit,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E2.2.1.6S ilvH ilvN; acetolactate synthase I/III small subunit,0.000726578,0.000767322,0.00122025,0.00102438,0.00113477,0.000956807,0.000679198,0.00115125,0.00102535,0.000433149,0.00102983,0,0.000852894,0.00100915,0.000632124,0.00110927,0.00109088,0.000792002,0.00101765,0.000731927
K01652,K01652: acetolactate synthase I/II/III large subunit,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E2.2.1.6L ilvB ilvG ilvI; acetolactate synthase I/II/III large subunit,0.00073895,0.00103559,0.00106839,0.00093698,0.000926307,0.000918173,0.000425988,0.00104585,0.000702434,0.000985677,0.000620728,0,0.000936447,0.000741216,0.000579278,0.000686196,0.000775374,0.00102924,0.000953712,0.000585108
K01655,K01655: homocitrate synthase,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,LYS21 LYS20; homocitrate synthase,0,7.02E-05,2.06E-05,0,5.61E-05,0,0,0,2.72E-05,0,2.55E-05,0,0,0,0,0,4.69E-05,0,6.02E-05,0
K01654,K01654: N-acetylneuraminate synthase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,E2.5.1.56 neuB; N-acetylneuraminate synthase,0.000386554,0.000198246,0.000180787,0.000331522,0.000181796,0.000432085,0.000219827,0.000235608,0.000212601,7.36E-05,0.000541455,0,0.000249837,0.000380846,0.00016583,0.000282001,0.00024068,9.19E-05,0,0.000110954
K13018,K13018,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,wbpD wlbB; UDP-2-acetamido-3-amino-23-dideoxy-glucuronate N-acetyltransferase,9.73E-05,6.83E-05,0,0.000184712,5.42E-05,0.000137742,0.00023537,5.11E-05,0.00010545,0,0.000147712,0,7.12E-05,0.000120891,0.00023691,0.000168728,0.000190558,7.85E-05,0.000116296,6.65E-05
K03476,K03476: L-ascorbate 6-phosphate lactonase,Metabolism,Carbohydrate metabolism,Ascorbate_and_aldarate_metabolism,ulaG; L-ascorbate 6-phosphate lactonase,0,1.88E-05,4.37E-05,5.06E-05,2.83E-05,5.03E-05,0,5.4E-05,0,0.000142723,0,0,0,0,3.22E-05,0,0,4.29E-05,0,7.11E-05
