Gene	Category	SuperPathway	SubPathway	KOAnnot
K00114	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	exaA; alcohol dehydrogenase (cytochrome c)
K00115	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	E1.1.5.9; glucose dehydrogenase (acceptor)
K00116	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	mqo; malate dehydrogenase (quinone)
K00117	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	gcd; quinoprotein glucose dehydrogenase
K00121	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	frmA ADH5 adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	FDH; formate dehydrogenase
K00123	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	fdoG fdfH; formate dehydrogenase major subunit
K00124	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	fdoH; formate dehydrogenase iron-sulfur subunit
K00125	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	E1.2.1.2B2; formate dehydrogenase beta subunit
K00126	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	fdsD; formate dehydrogenase subunit delta
K00127	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	fdoI; formate dehydrogenase subunit gamma
K00128	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E1.2.1.3; aldehyde dehydrogenase (NAD+)
K00129	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+)
K00130	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	betB gbsA; betaine-aldehyde dehydrogenase
K00131	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00132	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)
K00133	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	asd; aspartate-semialdehyde dehydrogenase
K00134	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	GAPDH gapA; glyceraldehyde 3-phosphate dehydrogenase
K00135	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
K00137	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	prr; aminobutyraldehyde dehydrogenase
K00138	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	aldB; aldehyde dehydrogenase
K00139	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	ALDH5A1; succinate-semialdehyde dehydrogenase
K00140	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	mmsA iolA ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
K00141	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate_degradation	xylC; benzaldehyde dehydrogenase (NAD)
K00143	Metabolism	Amino acid metabolism	Lysine_biosynthesis	LYS2; L-aminoadipate-semialdehyde dehydrogenase
K00145	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	argC; N-acetyl-gamma-glutamyl-phosphate reductase
K00146	Metabolism	Amino acid metabolism	Phenylalanine_metabolism	feaB; phenylacetaldehyde dehydrogenase
K00147	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	proA; glutamate-5-semialdehyde dehydrogenase
K00148	Metabolism	Energy metabolism	Methane_metabolism	fdhA; glutathione-independent formaldehyde dehydrogenase
K00149	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	ALDH9A1; aldehyde dehydrogenase family 9 member A1
K00150	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00151	Metabolism	Amino acid metabolism	Tyrosine_metabolism	hpaE hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
K00152	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene_degradation	nahF; salicylaldehyde dehydrogenase
K00156	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	poxB; pyruvate dehydrogenase (quinone)
K00157	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	AOX; aldehyde oxidase
K00158	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.2.3.3 poxL; pyruvate oxidase
K00161	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	PDHA pdhA; pyruvate dehydrogenase E1 component alpha subunit
K00162	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	PDHB pdhB; pyruvate dehydrogenase E1 component beta subunit
K00163	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	aceE; pyruvate dehydrogenase E1 component
K00164	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	OGDH sucA; 2-oxoglutarate dehydrogenase E1 component
K00166	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	BCKDHA bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit
K00167	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	BCKDHB bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit
K00169	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	porA; pyruvate ferredoxin oxidoreductase alpha subunit
K00170	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	porB; pyruvate ferredoxin oxidoreductase beta subunit
K00171	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	porD; pyruvate ferredoxin oxidoreductase delta subunit
K00172	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	porG; pyruvate ferredoxin oxidoreductase gamma subunit
K00174	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	korA oorA; 2-oxoglutarate ferredoxin oxidoreductase subunit alpha
K00175	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	korB oorB; 2-oxoglutarate ferredoxin oxidoreductase subunit beta
K00176	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	korD oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta
K00177	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	korC oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00181	Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	PPN; porcupine
K00182	Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	WNT2; wingless-type MMTV integration site family member 2
K00186	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit
K00187	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit
K00188	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit
K00189	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	vorG; 2-oxoisovalerate ferredoxin oxidoreductase gamma subunit
K00192	Metabolism	Energy metabolism	Methane_metabolism	cdhA; acetyl-CoA decarbonylase/synthase complex subunit alpha
K00193	Metabolism	Energy metabolism	Methane_metabolism	cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta
K00194	Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	cdhD acsD; acetyl-CoA decarbonylase/synthase complex subunit delta
K00195	Metabolism	Energy metabolism	Methane_metabolism	cdhB; acetyl-CoA decarbonylase/synthase complex subunit epsilon
K00196	Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	cooF; carbon-monoxide dehydrogenase iron sulfur subunit
K00197	Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	cdhE acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma
K00198	Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	cooS acsA; carbon-monoxide dehydrogenase catalytic subunit
K00200	Metabolism	Energy metabolism	Methane_metabolism	fwdA fmdA; formylmethanofuran dehydrogenase subunit A
K00201	Metabolism	Energy metabolism	Methane_metabolism	fwdB fmdB; formylmethanofuran dehydrogenase subunit B
K00202	Metabolism	Energy metabolism	Methane_metabolism	fwdC fmdC; formylmethanofuran dehydrogenase subunit C
K00203	Metabolism	Energy metabolism	Methane_metabolism	fwdD fmdD; formylmethanofuran dehydrogenase subunit D
K00204	Metabolism	Energy metabolism	Methane_metabolism	fwdH; 4Fe-4S ferredoxin
K00205	Metabolism	Energy metabolism	Methane_metabolism	fwdF fmdF; 4Fe-4S ferredoxin
K00207	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	DPYD; dihydropyrimidine dehydrogenase (NADP+)
K00208	Metabolism	Lipid metabolism	Fatty_acid_biosynthesis	fabI; enoyl-[acyl-carrier protein] reductase I
K00209	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	fabV ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
K00210	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	E1.3.1.12; prephenate dehydrogenase
K00211	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	TYR1; prephenate dehydrogenase (NADP+)
K00212	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism_of_xenobiotics_by_cytochrome_P450	E1.3.1.20; trans-12-dihydrobenzene-12-diol dehydrogenase
K00213	Metabolism	Lipid metabolism	Steroid_biosynthesis	DHCR7; 7-dehydrocholesterol reductase
K00214	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	BLVRA bvdR; biliverdin reductase
K00215	Metabolism	Amino acid metabolism	Lysine_biosynthesis	dapB; 4-hydroxy-tetrahydrodipicolinate reductase
K00216	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_siderophore_group_nonribosomal_peptides	entA; 23-dihydro-23-dihydroxybenzoate dehydrogenase
K00217	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate_degradation	E1.3.1.32; maleylacetate reductase
K00218	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	E1.3.1.33 por; protochlorophyllide reductase
K00220	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	tyrC; cyclohexadieny/prephenate dehydrogenase
K00222	Metabolism	Lipid metabolism	Steroid_biosynthesis	TM7SF2 ERG24; delta14-sterol reductase
K00223	Metabolism	Lipid metabolism	Steroid_biosynthesis	ERG4; delta24(24(1))-sterol reductase
K00225	Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	GLDH; L-galactono-14-lactone dehydrogenase
K00226	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	pyrD; dihydroorotate dehydrogenase (fumarate)
K00227	Metabolism	Lipid metabolism	Steroid_biosynthesis	SC5DL ERG3; lathosterol oxidase
K00228	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	CPOX hemF; coproporphyrinogen III oxidase
K00230	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	hemG; menaquinone-dependent protoporphyrinogen oxidase
K00231	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	PPOX hemY; oxygen-dependent protoporphyrinogen oxidase
K00232	Metabolism	Lipid metabolism	Fatty_acid_degradation	E1.3.3.6 ACOX1 ACOX3; acyl-CoA oxidase
K00234	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	SDHA SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	SDHB SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	SDHC SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	SDHD SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	sdhA frdA; succinate dehydrogenase / fumarate reductase flavoprotein subunit
K00240	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	sdhB frdB; succinate dehydrogenase / fumarate reductase iron-sulfur subunit
K00241	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	sdhC frdC; succinate dehydrogenase / fumarate reductase cytochrome b subunit
K00242	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	sdhD frdD; succinate dehydrogenase / fumarate reductase membrane anchor subunit
K00244	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	frdA; fumarate reductase flavoprotein subunit
K00245	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	frdB; fumarate reductase iron-sulfur subunit
K00246	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	frdC; fumarate reductase subunit C
K00247	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	frdD; fumarate reductase subunit D
K00248	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	ACADS bcd; butyryl-CoA dehydrogenase
K00249	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	ACADM acd; acyl-CoA dehydrogenase
K00251	Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase
K00252	Metabolism	Lipid metabolism	Fatty_acid_degradation	GCDH gcdH; glutaryl-CoA dehydrogenase
K00253	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	IVD ivd; isovaleryl-CoA dehydrogenase
K00254	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	DHODH pyrD; dihydroorotate dehydrogenase
K00255	Metabolism	Lipid metabolism	Fatty_acid_degradation	ACADL; long-chain-acyl-CoA dehydrogenase
K00257	Metabolism	Metabolism of terpenoids and polyketides	Geraniol_degradation	E1.3.99.-;
K00259	Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	ald; alanine dehydrogenase
K00260	Metabolism	Energy metabolism	Nitrogen_metabolism	gudB rocG; glutamate dehydrogenase
K00261	Metabolism	Energy metabolism	Nitrogen_metabolism	GLUD1_2 gdhA; glutamate dehydrogenase (NAD(P)+)
K00262	Metabolism	Energy metabolism	Nitrogen_metabolism	E1.4.1.4 gdhA; glutamate dehydrogenase (NADP+)
K00263	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	E1.4.1.9; leucine dehydrogenase
K00264	Metabolism	Energy metabolism	Nitrogen_metabolism	GLT1; glutamate synthase (NADPH/NADH)
K00265	Metabolism	Energy metabolism	Nitrogen_metabolism	gltB; glutamate synthase (NADPH/NADH) large chain
K00266	Metabolism	Energy metabolism	Nitrogen_metabolism	gltD; glutamate synthase (NADPH/NADH) small chain
K00270	Metabolism	Amino acid metabolism	Tyrosine_metabolism	pdh; phenylalanine dehydrogenase
