	Gene	NAME	CSM5LLGB.kegg.e-40.m8-hit-keg-cat	CSM6J2H9.kegg.e-40.m8-hit-keg-cat	CSM79HGR.kegg.e-40.m8-hit-keg-cat	ESM5GEYX.kegg.e-40.m8-hit-keg-cat	ESM5GEYY.kegg.e-40.m8-hit-keg-cat	ESM5GEZ1.kegg.e-40.m8-hit-keg-cat	ESM5MEAB.kegg.e-40.m8-hit-keg-cat	ESM5MEB9.kegg.e-40.m8-hit-keg-cat	ESM5MEC7.kegg.e-40.m8-hit-keg-cat	ESM5MEDP.kegg.e-40.m8-hit-keg-cat	ESM5MEE2.kegg.e-40.m8-hit-keg-cat	ESM5MEEJ.kegg.e-40.m8-hit-keg-cat	ESM718U9.kegg.e-40.m8-hit-keg-cat	ESM7F5AE.kegg.e-40.m8-hit-keg-cat	HSM5MD6G.kegg.e-40.m8-hit-keg-cat	HSM5MD6S.kegg.e-40.m8-hit-keg-cat	HSM67VDR.kegg.e-40.m8-hit-keg-cat	HSM67VDT.kegg.e-40.m8-hit-keg-cat	HSM6XRQC.kegg.e-40.m8-hit-keg-cat	HSM6XRTE.kegg.e-40.m8-hit-keg-cat	HSM7CZ2X.kegg.e-40.m8-hit-keg-cat	HSM7J4JV.kegg.e-40.m8-hit-keg-cat	HSMA33J1.kegg.e-40.m8-hit-keg-cat	mock_even_lc-hit-keg-cat	Category	SuperPathway	SubPathway	KOAnnot
10	K01362	K01362	0.00131245	0.00186136	0.000778783	0.0007057610000000001	0.000642864	0.0006630360000000001	0.00044452300000000005	0.000755768	0.0007499189999999999	0.000932679	0.000722128	0.000978932	0.0005550780000000001	0.000908034	0.0	0.00101664	0.0007875569999999999	0.00102019	0.00054913	0.00099946	0.000614973	0.000500833	0.00101258	0.00133011	None	None	None	None
11	K10110	K10110: maltose/maltodextrin transport system permease protein	0.000641121	0.0	0.00024370099999999998	0.000380309	0.000139995	0.000380397	0.000134075	0.000110219	0.000279989	0.0	0.000317881	0.00010605799999999999	0.0	0.00028184900000000003	0.0	0.000252163	0.000274791	0.000118879	0.00033288199999999995	0.000127986	0.000265224	0.000308865	0.00013340700000000002	0.0	Environmental Information Processing	Membrane transport	ABC_transporters	malG; maltose/maltodextrin transport system permease protein
12	K10111	K10111: maltose/maltodextrin transport system ATP-binding protein	0.0	0.0	0.0	1.64e-05	3.34e-05	1.93e-05	4.73e-05	5.47e-05	2.57e-05	0.0	2.7000000000000002e-05	0.0	6.35e-05	2.52e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.8e-05	0.0	0.0	5.44e-05	Environmental Information Processing	Membrane transport	ABC_transporters	malK mtlK thuK; multiple sugar transport system ATP-binding protein
13	K10112	K10112: maltose/maltodextrin transport system ATP-binding protein	0.00190253	0.00149378	0.000135374	0.00035056199999999995	0.00015900700000000002	0.000562428	0.000142609	0.00013864700000000002	0.000333291	7.79e-05	0.000425652	0.00016393	0.000137107	0.000206398	0.0	0.00047512300000000004	0.000216908	0.000146639	8.85e-05	0.000218298	0.00024355099999999997	0.000180088	0.00037470900000000003	0.000247258	Environmental Information Processing	Membrane transport	ABC_transporters	msmX msmK malK sugC ggtA msiK; multiple sugar transport system ATP-binding protein
14	K10116	K10116: maltooligosaccharide transport system ATP-binding protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	None	None	None
15	K10117	K10117: multiple sugar transport system substrate-binding protein	0.0	0.0	1.93e-05	0.0001013	1.59e-05	0.000107237	0.000126902	9.81e-05	6.17e-05	3.5100000000000006e-05	0.00018245299999999998	4.8e-05	0.0	6.61e-05	0.0	0.00016044399999999998	0.00010923200000000001	5.18e-05	7.56e-05	6.54e-05	0.000104636	0.000156195	8.950000000000001e-05	0.0	Environmental Information Processing	Membrane transport	ABC_transporters	msmE; raffinose/stachyose/melibiose transport system substrate-binding protein
16	K10118	K10118: multiple sugar transport system permease protein	0.0	0.0	5.6899999999999994e-05	0.000150693	0.000110595	0.000207025	6.159999999999999e-05	0.000176413	0.000152349	0.0	0.000138025	6.99e-05	0.0	0.000162797	0.0	4.7499999999999996e-05	7.929999999999999e-05	0.0	0.00022497200000000001	6.07e-05	5.14e-05	0.000155062	0.0	0.0	Environmental Information Processing	Membrane transport	ABC_transporters	msmF; raffinose/stachyose/melibiose transport system permease protein
17	K10119	K10119: multiple sugar transport system permease protein	0.0	0.0	5.91e-05	0.000135344	0.0	0.000136583	0.0	0.000145203	0.00012615600000000002	0.0	7.09e-05	3.54e-05	0.0	6.63e-05	0.0	0.00014515	0.0	3.9399999999999995e-05	0.00023260000000000002	0.000125834	0.000159092	0.000238386	4.46e-05	5.25e-07	Environmental Information Processing	Membrane transport	ABC_transporters	msmG; raffinose/stachyose/melibiose transport system permease protein
18	K11909	K11909: type VI secretion system protein VasI	0.0	0.0	0.0	0.0	0.0	8.35e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000103139	0.0	0.0	0.0	5.6399999999999995e-05	0.0	0.0	0.0	6.159999999999999e-05	0.0	0.0	0.0	None	None	None	None
19	K05841	K05841: sterol 3beta-glucosyltransferase	0.0	0.0	0.0	1.4999999999999999e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	None	None	None
20	K05844	K05844: ribosomal protein S6 modification protein	0.0	0.0	0.0	4.04e-05	4.33e-05	4.93e-05	0.0	3.48e-05	5.59e-05	0.0	3.28e-05	3.16e-05	0.000162263	2.95e-05	0.0	0.0	7.670000000000001e-05	0.0	0.000104246	0.0	4.85e-05	0.0	0.0	0.0	None	None	None	None
21	K05845	K05845: osmoprotectant transport system substrate-binding protein	0.000692656	0.00015647	0.0	0.0	0.00020988	7.08e-05	0.0	8.96e-05	0.000127131	0.0	9.690000000000001e-05	7.38e-05	5.08e-05	7.42e-05	0.0	0.0	2.3e-05	2.23e-05	0.000254281	7.170000000000001e-05	0.000138969	0.0	7.59e-05	6.790000000000001e-05	Environmental Information Processing	Membrane transport	ABC_transporters	opuC; osmoprotectant transport system substrate-binding protein
22	K05846	K05846: osmoprotectant transport system permease protein	0.00172745	0.00015647	0.0	9.04e-05	0.000407021	0.000184978	0.0	2.08e-05	0.000254893	0.0	9.690000000000001e-05	0.00010868	0.000287009	0.000117585	0.0	0.0	2.3e-05	5.19e-05	0.000254281	0.00016728099999999997	0.000260318	0.0	7.59e-05	0.000497933	Environmental Information Processing	Membrane transport	ABC_transporters	opuBD; osmoprotectant transport system permease protein
23	K05847	K05847: osmoprotectant transport system ATP-binding protein	0.000474396	0.000418081	0.0	0.0	0.00014848700000000002	9.86e-05	4.7499999999999996e-05	3.3299999999999996e-05	0.000121438	0.000113851	2.62e-05	5.93e-05	8.190000000000001e-05	6.39e-05	0.0	0.0	0.0	7.72e-05	0.000250616	9.09e-05	0.000104033	0.0	0.0	0.000324653	Environmental Information Processing	Membrane transport	ABC_transporters	opuA; osmoprotectant transport system ATP-binding protein
24	K04083	K04083: molecular chaperone Hsp33	0.0	0.000270607	0.000373478	0.000300855	0.000360275	0.000494544	0.00036803199999999996	0.00028666200000000003	0.000331985	0.000318274	0.0007129419999999999	0.000276253	0.00027302	0.000131658	0.0	0.000374982	0.00024045599999999998	0.000162146	0.000224201	0.00040781300000000003	0.000207386	0.00038616199999999995	0.000569029	0.0006901030000000001	None	None	None	None
25	K04082	K04082: molecular chaperone HscB	0.0	0.0	0.0	0.0	0.000109822	8.44e-05	0.0	0.000116619	9.9e-05	0.0	0.0	0.0	0.00014153	0.0	0.0	0.0	6.27e-05	0.0	0.0	0.0	0.0	0.000131171	0.0	0.000493965	None	None	None	None
26	K04081	K04081: molecular chaperone IbpB	0.00114161	0.0	0.0	0.0	4.3e-05	5e-05	0.0	6.78e-05	5.7499999999999995e-05	0.0	0.0	0.0	0.000137704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23e-05	0.0	0.0	0.0	None	None	None	None
27	K04080	K04080: molecular chaperone IbpA	0.00116414	0.0	0.0	0.0	0.00018241	5.65e-05	0.0	6.92e-05	0.0	0.0	0.0	0.0	0.00018595099999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111139	0.0	0.0	0.0	None	None	None	None
28	K04087	K04087: membrane protease subunit HflC	0.0	0.0	2.78e-05	3.929999999999999e-05	0.000156613	0.000156827	6.07e-05	7.13e-05	8.79e-05	0.0	0.000202901	0.00010381	8.640000000000001e-05	6.42e-05	0.0	0.0	7.94e-05	3.8e-05	9.89e-05	6.15e-05	0.00019074400000000002	0.000146751	4.39e-05	0.00021322	None	None	None	None
29	K04086	K04086: ATP-dependent Clp protease ATP-binding subunit ClpL	0.0	0.0	0.0	8.76e-06	3.75e-05	3.27e-05	0.0	0.0	1.27e-05	0.0	2.8000000000000003e-05	2.8000000000000003e-05	0.0	1.3699999999999998e-05	0.0	1.92e-05	1.6800000000000002e-05	0.0	9.13e-05	0.0	0.0	3.24e-05	0.0	0.000206464	None	None	None	None
30	K04085	K04085: tRNA 2-thiouridine synthesizing protein A	0.0	0.0	4.04e-05	7.099999999999999e-05	0.00011457299999999999	0.00017621799999999999	4.3200000000000007e-05	0.000167806	0.0	3.6700000000000004e-05	0.0	0.0	3.07e-05	2.3e-05	0.0	3.3100000000000005e-05	0.000158916	1.3800000000000002e-05	3.9500000000000005e-05	1.11e-05	0.000172165	2.72e-05	3.11e-05	0.0	Genetic Information Processing	Folding sorting and degradation	Sulfur_relay_system	tusA sirA; tRNA 2-thiouridine synthesizing protein A
31	K04084	K04084: thiol:disulfide interchange protein DsbD	0.0	0.0	1.3800000000000002e-05	1.06e-05	7.829999999999999e-05	5.24e-05	8.8e-05	7.06e-05	0.0	2.51e-05	1.7100000000000002e-05	0.0	0.000215682	1.59e-05	0.0	0.0	3.9e-05	3.6700000000000004e-05	5.5299999999999996e-05	4.46e-05	5.24e-05	0.0	2.13e-05	0.000124259	None	None	None	None
32	K11618	K11618: two-component system NarL family response regulator LiaR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.25e-05	0.0	0.0	4.16e-05	Environmental Information Processing	Signal transduction	Two-component_system	liaR; two-component system NarL family response regulator LiaR
33	K04088	K04088: membrane protease subunit HflK	0.0	0.0	2.6899999999999997e-05	3.52e-05	0.000105095	0.000146985	4.28e-05	9.9e-05	7.06e-05	0.0	0.000125656	8.57e-05	0.000128499	6.14e-05	0.0	0.0	5.31e-05	3.6700000000000004e-05	0.0	7.120000000000001e-05	8.3e-05	0.0	2.7600000000000003e-05	0.0	None	None	None	None
34	K12521	K12521: minor pilin subunit PapF	0.0	0.0	0.0	0.0	0.0	8.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000144746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.65e-05	0.0	0.0	0.0	None	None	None	None
35	K00989	K00989: ribonuclease PH	0.0	0.0	9.940000000000002e-05	0.000106115	0.00027221900000000003	0.000219008	7.140000000000001e-05	8.55e-05	0.000144609	5.629999999999999e-05	8.09e-05	0.000126512	0.000360796	0.000117128	0.0	0.0	0.00017171	8.759999999999999e-05	0.000262401	0.000143349	0.000185214	9.25e-05	0.000105301	0.000411964	None	None	None	None
36	K00986	K00986: RNA-directed DNA polymerase	0.0	0.000487454	0.00100728	0.00106988	0.0011149	0.000889075	0.0006973210000000001	0.00126293	0.00122346	0.00108778	0.0005957000000000001	0.0008919589999999999	0.00075937	0.00127643	0.0	0.000921953	0.00105593	0.000931332	0.00076339	0.00104812	0.00092137	0.00118375	0.00127828	0.0	None	None	None	None
37	K01103	K01103: fructose-26-bisphosphatase	0.0	0.0	0.0	0.0	1.64e-05	0.0	0.0	2.6000000000000002e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26e-05	0.0	0.0	0.0	0.0	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	PFKFB3; 6-phosphofructo-2-kinase / fructose-26-biphosphatase 3&#160;
38	K00985	K00985: RNA-directed RNA polymerase	0.00101695	0.000908246	0.000144283	0.000180465	0.00023008900000000003	0.000400485	0.000411886	0.000302047	0.00035834	0.000349295	0.000285046	0.000352714	0.0	0.000219587	0.0	0.000315801	0.00047175300000000005	0.000131025	0.000188123	0.00015889999999999999	0.00035002300000000003	0.00038899	0.000518726	0.0	None	None	None	None
39	K00982	K00982: glutamate-ammonia-ligase adenylyltransferase	0.0	0.0	0.0	1.3300000000000001e-05	6.34e-05	7.31e-05	9.209999999999999e-05	0.00014148	5.539999999999999e-05	0.0	3.09e-05	4.3e-05	0.000106031	2.9299999999999997e-05	0.0	1.4599999999999999e-05	4.83e-05	0.0	3.3600000000000004e-05	6.51e-05	7.85e-05	0.0	5.25e-05	0.0	None	None	None	None
40	K01104	K01104: protein-tyrosine phosphatase	0.0	0.000779583	0.00135142	0.00100015	0.00141053	0.000888173	0.00120116	0.000962367	0.00118275	0.00133194	0.0012184000000000001	0.00126711	0.00144366	0.0011708	0.0	0.00138366	0.0009645989999999999	0.00144714	0.00231891	0.00142275	0.00125766	0.00106889	0.00131582	0.00162622	None	None	None	None
41	K00980	K00980: glycerol-3-phosphate cytidylyltransferase	0.0	0.0	0.0	4.7600000000000005e-05	4.77e-05	0.000164568	0.000127979	0.0	0.0	0.0	0.00021515599999999998	0.0	0.000151639	6.87e-05	0.0	9.88e-05	8.379999999999999e-05	0.00017176599999999998	0.00023380900000000002	0.0	0.000218297	0.0	0.0	0.00019423099999999998	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	tagD; glycerol-3-phosphate cytidylyltransferase
42	K00981	K00981: phosphatidate cytidylyltransferase	0.0	0.000565422	0.0007196030000000001	0.000561153	0.000706398	0.000723123	0.0007057189999999999	0.000631877	0.0005011869999999999	0.000693128	0.000708318	0.000621509	0.000795507	0.0007793710000000001	0.0	0.000641809	0.000737206	0.00074864	0.0008125439999999999	0.00054855	0.000573673	0.000792976	0.000589945	0.00157248	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	E2.7.7.41 CDS1 CDS2 cdsA; phosphatidate cytidylyltransferase
43	K05592	K05592: ATP-dependent RNA helicase DeaD	0.000603624	0.000140851	0.000608218	0.000506169	0.000598847	0.000473112	0.00045881	0.000598001	0.000531799	0.000578155	0.000488115	0.00048354400000000003	0.000511285	0.0006295119999999999	0.0	0.000582717	0.0004979159999999999	0.000427155	0.0007669939999999999	0.000540247	0.000451779	0.000456654	0.000479076	0.000784655	Genetic Information Processing	Folding sorting and degradation	RNA_degradation	deaD cshA; ATP-dependent RNA helicase DeaD
44	K05593	K05593: aminoglycoside 6-adenylyltransferase	0.0	0.0	2.9600000000000005e-05	4.55e-05	2.36e-05	0.0	0.0	0.0	0.0	5.3700000000000004e-05	6.890000000000001e-05	3.6099999999999997e-05	0.0	3.16e-05	0.0	4.85e-05	4.04e-05	4.03e-05	0.0	6.49e-05	0.0	0.0	0.0	0.0	None	None	None	None
45	K05590	K05590: ATP-dependent RNA helicase SrmB	0.0	0.0	0.0	1.4000000000000001e-05	4.49e-05	6.96e-05	4.04e-05	4.73e-05	4.01e-05	0.0	0.0	0.0	5.720000000000001e-05	0.0	0.0	0.0	7.929999999999999e-05	0.0	0.0	0.0	6.840000000000001e-05	0.0	0.0	2.0600000000000003e-05	None	None	None	None
46	K05591	K05591: ATP-independent RNA helicase DbpA	0.0	0.0	0.00011329600000000001	4.26e-05	0.00016638900000000002	0.000102861	0.000162601	0.000237798	0.000160771	0.00024268	0.000109626	0.000207099	0.00034550199999999997	0.000108645	0.0	0.000187829	0.000133377	0.00015586	0.000150498	0.000146135	0.000204668	0.00020474900000000003	0.00017629900000000001	0.000118949	None	None	None	None
47	K05596	K05596: LysR family transcriptional regulator chromosome initiation	0.0	0.0	0.0	0.0	2.1e-05	2.44e-05	0.0	6.63e-05	2.8100000000000002e-05	0.0	0.0	0.0	0.000164999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.609999999999999e-05	0.0	0.0	0.000377515	None	None	None	None
48	K05597	K05597: glutamin-(asparagin-)ase	0.0	0.0	2.36e-05	0.0	0.0	2.35e-05	0.0	0.0	2.51e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5499999999999996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	aspQ ansB ansA; glutamin-(asparagin-)ase
49	K05594	K05594: ElaB protein	0.0	0.0	0.0	0.0	0.0	7.52e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000147826	0.0	0.0	0.0	None	None	None	None
50	K05595	K05595: multiple antibiotic resistance protein	0.0	0.000327873	0.000679157	0.000651562	0.0008757839999999999	0.000539114	0.00100793	0.000737302	0.000711365	0.0009997369999999999	0.000512735	0.00110029	0.0011759000000000001	0.0008921119999999999	0.0	0.0008355260000000001	0.00103479	0.00123278	0.00120751	0.000869054	0.000775632	0.0006294240000000001	0.000607425	1.7300000000000002e-09	None	None	None	None
51	K06012	K06012: spore protease	0.0	0.000233779	0.00010407299999999999	0.000210787	5.93e-05	0.00033195699999999997	6.61e-05	0.000124621	7.929999999999999e-05	4.429999999999999e-05	0.00011949799999999999	2.98e-05	0.0	0.000119159	0.0	9.070000000000001e-05	6.840000000000001e-05	3.76e-05	0.0	8.420000000000001e-05	0.000145284	0.000148921	0.000236505	0.0	None	None	None	None
52	K01297	K01297: muramoyltetrapeptide carboxypeptidase	0.0	0.0	0.00043797199999999996	0.000164875	0.000326725	0.000174783	0.000287638	0.000238332	0.000175245	0.000299774	0.000161073	0.00020008799999999999	0.000251401	0.00021935099999999998	0.0	0.00018035099999999998	0.000229481	0.00033889	0.000317505	0.000325806	9.89e-05	7.23e-05	8.4e-05	0.0	None	None	None	None
53	K05603	K05603: formimidoylglutamate deiminase	0.0	0.0	0.0	1.3300000000000001e-05	2.8600000000000004e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism	Amino acid metabolism	Histidine_metabolism	hutF; formimidoylglutamate deiminase
54	K05601	K05601: hydroxylamine reductase	0.0	0.0	0.0	0.0	0.0	1.7199999999999998e-05	0.0	0.0	0.0	0.0	2.2100000000000002e-05	4.5600000000000004e-05	0.0	2.13e-05	0.0	3.14e-05	5.3299999999999995e-05	2.54e-05	0.0	2.05e-05	0.0	0.0	0.0	4.83e-05	Metabolism	Energy metabolism	Nitrogen_metabolism	hcp; hydroxylamine reductase
55	K02926	K02926: large subunit ribosomal protein L4	0.00170144	0.00226444	0.00100887	0.00108317	0.000673909	0.000845374	0.000864027	0.000555417	0.000641591	0.0009416439999999999	0.000713267	0.00044112800000000005	0.000742704	0.000731801	0.0	0.000522922	0.0006691210000000001	0.0006021469999999999	0.000629494	0.0010092	0.000952747	0.00118527	0.00109826	0.000655188	Genetic Information Processing	Translation	Ribosome	RP-L4 MRPL4 rplD; large subunit ribosomal protein L4
56	K05607	K05607: methylglutaconyl-CoA hydratase	0.0	0.000690108	0.0	0.0	2.2100000000000002e-05	3.17e-05	0.0	0.0	0.0	5.03e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65e-05	0.0	0.0	0.0	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	AUH; methylglutaconyl-CoA hydratase
57	K14541	K14541	0.0	0.0	0.0	0.0	0.0	4.15e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	DUR1; urea carboxylase / allophanate hydrolase
58	K14540	K14540	0.0	0.0	0.000288668	0.0005423919999999999	0.000249841	0.000454226	0.000295663	0.000182206	9.25e-05	0.000157021	0.00047337599999999996	0.000351517	0.00018037	0.000261173	0.0	0.00032763299999999997	0.000201959	7.77e-05	0.00033746599999999997	0.000256724	0.00020339400000000002	0.000622735	0.000440364	4.23e-05	None	None	None	None
59	K11611	K11611: enoyl ACP reductase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73e-05	None	None	None	None
60	K00216	K00216: 23-dihydro-23-dihydroxybenzoate dehydrogenase	0.0	0.0	0.0	0.0	2.56e-05	5.7700000000000007e-05	0.0	4.03e-05	0.0	0.0	0.0	0.0	9.76e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011347	0.0	0.0	3.05e-05	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_siderophore_group_nonribosomal_peptides	entA; 23-dihydro-23-dihydroxybenzoate dehydrogenase
61	K00215	K00215: dihydrodipicolinate reductase	0.000699403	0.000312321	0.000805582	0.000875008	0.000662976	0.00095628	0.00110162	0.000696024	0.0006633969999999999	0.00107031	0.0008955230000000001	0.0008437589999999999	0.000796048	0.000669688	0.0	0.00098451	0.000702523	0.0007353489999999999	0.00102591	0.000849833	0.000693692	0.000721905	0.000861248	0.000522704	Metabolism	Amino acid metabolism	Lysine_biosynthesis	dapB; 4-hydroxy-tetrahydrodipicolinate reductase
62	K12529	K12529: putative selenate reductase FAD-binding subunit	0.0	0.0	0.0	0.0	0.0	2.99e-05	0.0	4.0600000000000004e-05	0.0	0.0	0.0	0.0	0.000196721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88e-05	0.0	0.0	0.0	Metabolism	Metabolism of other amino acids	Selenocompound_metabolism	ygfM; putative selenate reductase FAD-binding subunit
63	K00210	K00210: prephenate dehydrogenase	0.0	0.0	0.000254166	0.000244365	0.000285595	9.04e-05	0.000552231	0.000408996	0.000450565	0.000413854	0.000192988	0.00039800199999999995	0.000495629	0.00048317699999999994	0.0	0.00032071599999999997	0.000501909	0.00044354800000000004	0.000382101	0.000322747	0.00023698099999999999	0.000526726	0.000200686	0.000102094	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	E1.3.1.12; prephenate dehydrogenase
