Gene,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Category,SuperPathway,SubPathway,KOAnnot
K00019,K00019: 3-hydroxybutyrate dehydrogenase,9.69E-05,2.20E-05,8.97E-05,2.04E-05,5.57E-05,4.03E-05,4.58E-05,4.66E-05,2.67E-05,3.95E-05,3.09E-05,0,5.87E-05,4.63E-05,1.52E-05,2.53E-05,3.32E-05,5.02E-05,6.99E-05,6.58E-05,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E1.1.1.30 bdh; 3-hydroxybutyrate dehydrogenase
K00020,K00020: 3-hydroxyisobutyrate dehydrogenase,0.000285769,3.74E-05,0.000108102,0.000109434,0.000141027,0.000173297,0.00019684,7.94E-05,6.14E-05,0.000130639,0.000103962,0.000112458,9.95E-05,0.000164557,0.000120221,5.06E-05,0.000156623,0.000132352,0.0001666,0.000153097,Metabolism,Amino acid metabolism,Valine_leucine_and_isoleucine_degradation,E1.1.1.31 mmsB; 3-hydroxyisobutyrate dehydrogenase
K00021,K00021: 3-hydroxy-3-methylglutaryl-CoA reductase,0,0,7.28E-06,0,0,1.28E-05,0,6.06E-06,0,1.30E-05,0,0,6.26E-06,0,0,0,0,1.94E-05,0,0,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid_backbone_biosynthesis,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH)
K00022,K00022: 3-hydroxyacyl-CoA dehydrogenase,0,8.57E-06,8.85E-06,6.13E-06,0,2.38E-05,0,7.37E-06,1.38E-05,7.90E-06,1.25E-05,1.34E-05,7.61E-06,0,0,1.32E-05,1.79E-05,7.95E-06,7.89E-06,0,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,HADH; 3-hydroxyacyl-CoA dehydrogenase
K00023,K00023: acetoacetyl-CoA reductase,5.27E-05,9.17E-05,0.000141883,8.57E-05,0.000107775,5.21E-05,6.54E-05,8.75E-05,9.18E-05,0.000105824,9.76E-05,6.82E-05,8.09E-05,0.000131317,0.000145001,9.63E-05,7.02E-05,0.000147364,9.37E-05,0.000128425,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,E1.1.1.36 phbB; acetoacetyl-CoA reductase
K00024,K00024,0.000223663,0.000396959,0.00030087,0.000421698,0.000328555,0.000318722,0.000304915,0.00030007,0.000416233,0.000285025,0.000426096,0.000344814,0.000341138,0.000564151,0.000528189,0.00039154,0.000321779,0.000377382,0.000264769,0.000375063,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,mdh; malate dehydrogenase
K00025,K00025: malate dehydrogenase,0,0,0,1.59E-05,0,7.67E-06,0,0,0,0,0,0,7.49E-06,0,0,0,0,0,0,0,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,MDH1; malate dehydrogenase
K00026,K00026: malate dehydrogenase,0,0,0,0,0,0,0,0,6.75E-06,0,0,0,0,0,0,0,0,0,0,0,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,MDH2; malate dehydrogenase
K00027,K00027: malate dehydrogenase (oxaloacetate-decarboxylating),0.000383021,0.000443747,0.000544066,0.000437791,0.00049088,0.000481862,0.000439772,0.000396065,0.000479035,0.000473266,0.000507425,0.000501811,0.000407767,0.00038658,0.000382418,0.000477556,0.000494941,0.000596038,0.000438108,0.000381922,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,ME2 sfcA maeA; malate dehydrogenase (oxaloacetate-decarboxylating)
K00028,K00028: malate dehydrogenase (decarboxylating),5.48E-06,0,0,0,0,6.54E-06,0,0,0,0,0,0,3.25E-06,0,0,0,0,0,0,7.33E-06,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.39; malate dehydrogenase (decarboxylating)
K00029,K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),0.000121102,0.000226841,0.000120383,0.000334271,0.000115611,0.000140577,0.000158836,0.000111006,0.000122691,0.000108098,0.000137504,0.000188707,0.000170021,0.000244014,0.000191713,0.000127594,0.000163313,0.000101147,0.000161537,0.000105452,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.40 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030,K00030: isocitrate dehydrogenase (NAD+),0.000150523,6.02E-05,0.000123443,8.32E-05,0.000158979,0.000172325,0.000119432,6.82E-05,8.50E-05,0.000109441,1.07E-05,9.64E-05,5.94E-05,5.24E-05,7.53E-05,0.000107257,0.000116942,0.000118609,0.000116399,0.000146055,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,IDH3; isocitrate dehydrogenase (NAD+)
K00031,K00031: isocitrate dehydrogenase,0.000459001,0.000467573,0.000470014,0.000455366,0.000459658,0.000462402,0.000406505,0.000452761,0.000498762,0.0004933,0.000379505,0.000507983,0.000429116,0.000601438,0.000381367,0.000508312,0.000508619,0.000498139,0.000432346,0.00049791,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,IDH1 IDH2 icd; isocitrate dehydrogenase
K00033,K00033: 6-phosphogluconate dehydrogenase,0.000191051,0.000236707,0.000137446,0.00012799,0.000208639,0.000176861,0.000209163,0.000205925,0.000172492,0.000117713,0.000180273,0.000196502,0.000184596,0.000232686,0.000241926,0.000156279,0.000227295,8.98E-05,0.000221887,0.000167901,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,PGD gnd gntZ; 6-phosphogluconate dehydrogenase
K00034,K00034: glucose 1-dehydrogenase,9.86E-05,2.13E-05,1.07E-05,0,1.13E-05,5.01E-05,3.03E-05,1.91E-05,8.14E-06,9.55E-06,1.53E-05,0,2.99E-05,0,1.45E-05,2.47E-05,1.11E-05,3.96E-05,3.01E-05,3.30E-05,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,gdh; glucose 1-dehydrogenase
K00036,K00036: glucose-6-phosphate 1-dehydrogenase,0.000137983,0.000180243,9.99E-05,6.47E-05,0.000144993,0.000112708,0.000142593,0.000150626,0.000112786,9.36E-05,0.000177065,0.0001643,0.000155277,0.00021181,0.000222414,0.000109489,0.000160932,8.32E-05,0.000207255,0.000136996,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,G6PD zwf; glucose-6-phosphate 1-dehydrogenase
K00037,K00037: 3-alpha-hydroxysteroid dehydrogenase,0,1.11E-05,1.14E-05,2.08E-05,1.06E-05,0,0,0,0,1.02E-05,0,0,0,0,1.44E-05,8.50E-06,0,1.03E-05,0,1.04E-05,Metabolism,Lipid metabolism,Primary_bile_acid_biosynthesis,E1.1.1.50; 3-alpha-hydroxysteroid dehydrogenase
K00038,K00038: 3alpha(or 20beta)-hydroxysteroid dehydrogenase,1.68E-05,1.16E-05,1.15E-05,0,2.32E-05,0,0,3.92E-05,2.69E-05,1.03E-05,1.58E-05,1.69E-05,5.95E-05,3.19E-05,3.14E-05,2.58E-05,1.10E-05,0,9.89E-06,2.27E-05,Metabolism,Lipid metabolism,Steroid_hormone_biosynthesis,E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase
K00040,K00040: fructuronate reductase,0.000231031,0.000173324,0.000195137,0.000257078,0.000211766,0.000201475,0.000199588,0.000159478,0.000185236,0.000227201,0.000223981,0.00022338,0.000136357,0.000180107,0.000176384,0.000206339,0.000280718,0.000262947,0.00019877,0.000213325,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,uxuB; fructuronate reductase
K00041,K00041: tagaturonate reductase,0.000275398,0.000249173,0.000164965,0.000425424,0.000214414,0.000214129,0.000218309,0.000227292,0.000223051,0.000163477,0.000253134,0.000281334,0.000173618,0.000205585,0.000233917,0.000195056,0.000229159,0.000196242,0.000267742,0.00024419,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,uxaB; tagaturonate reductase
K00042,K00042: 2-hydroxy-3-oxopropionate reductase,0.000213633,0.000144968,0.000128772,7.27E-05,0.000227929,0.000156114,0.000121649,0.000131944,0.000123833,0.000115637,0.00013602,8.71E-05,9.36E-05,0.000136201,0.000147874,0.000125799,0.000176048,0.000168712,0.000113915,0.000204369,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,garR glxR; 2-hydroxy-3-oxopropionate reductase
K00043,K00043: 4-hydroxybutyrate dehydrogenase,0.000136326,3.03E-05,5.48E-05,7.12E-05,6.27E-05,6.89E-05,5.33E-05,6.52E-05,3.04E-05,6.99E-05,0.000118447,5.77E-05,6.06E-05,4.32E-05,6.37E-05,5.83E-05,5.42E-05,6.33E-05,9.72E-05,9.97E-05,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,gbd; 4-hydroxybutyrate dehydrogenase
K00044,K00044: estradiol 17beta-dehydrogenase,0,0,1.54E-05,3.96E-05,3.00E-05,8.96E-06,4.56E-05,1.82E-05,1.50E-05,0,4.40E-05,5.21E-05,2.71E-05,2.79E-05,4.34E-05,1.49E-05,0,1.39E-05,1.04E-05,1.99E-05,Metabolism,Lipid metabolism,Steroid_hormone_biosynthesis,HSD17B1; 17beta-estradiol 17-dehydrogenase
K00045,K00045: mannitol 2-dehydrogenase,0,1.71E-05,5.78E-06,1.09E-05,1.76E-05,5.08E-06,7.86E-06,9.73E-06,1.82E-05,5.16E-06,7.95E-06,8.51E-06,1.00E-05,3.24E-05,2.39E-05,8.79E-06,5.71E-06,5.19E-06,5.12E-06,1.72E-05,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.67 mtlK; mannitol 2-dehydrogenase
K00046,K00046: gluconate 5-dehydrogenase,0.000399957,0.000349515,0.000327934,0.00057658,0.000418676,0.000418834,0.000372713,0.000447671,0.0004182,0.000333384,0.000497283,0.000418735,0.00045355,0.000438021,0.000433373,0.000318596,0.000466872,0.000343391,0.000458289,0.000355684,None,None,None,None
K00048,K00048: lactaldehyde reductase,0.000242681,0.000493611,0.000486906,0.000553357,0.00034196,0.000448924,0.000507598,0.000392514,0.000443017,0.000475424,0.000502832,0.000537981,0.00045755,0.000356689,0.000360918,0.000436041,0.000571279,0.000416661,0.000546344,0.000454451,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fucO; lactaldehyde reductase
K00049,K00049: glyoxylate reductase (NADP+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16E-05,0,0,0,0,0,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,GRHPR; glyoxylate/hydroxypyruvate reductase
K00050,K00050: hydroxypyruvate reductase,4.91E-05,6.73E-05,8.17E-05,0.000136294,0.000165631,8.50E-05,0.000149361,0.000156301,0.000144573,9.87E-05,0.000169763,0.000142982,0.000172118,0.000134677,0.000142529,0.000164154,9.60E-05,0.000123899,0.000110812,0.000162559,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,ttuD; hydroxypyruvate reductase
K00051,K00051: malate dehydrogenase (NADP+),0,8.13E-06,8.39E-06,1.53E-05,0,0,0,0,1.30E-05,7.49E-06,0,0,0,0,0,6.25E-06,0,7.53E-06,0,0,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.82; malate dehydrogenase (NADP+)
K00052,K00052: 3-isopropylmalate dehydrogenase,0.000630988,0.000599949,0.000632004,0.00070361,0.000617283,0.00065084,0.000626361,0.000510871,0.000533367,0.000604881,0.000542152,0.000631861,0.000599246,0.000614674,0.000679957,0.000516282,0.000634189,0.000573589,0.000637158,0.000691948,Metabolism,Carbohydrate metabolism,C5-Branched_dibasic_acid_metabolism,leuB; 3-isopropylmalate dehydrogenase
K00053,K00053: ketol-acid reductoisomerase,0.000492782,0.000555757,0.000575804,0.000694024,0.000680914,0.00065173,0.000548968,0.000503465,0.000459689,0.000656096,0.00057985,0.000605538,0.000563497,0.000651638,0.000518771,0.000550284,0.000421133,0.000599548,0.00062042,0.000641401,Metabolism,Amino acid metabolism,Valine_leucine_and_isoleucine_biosynthesis,ilvC; ketol-acid reductoisomerase
K00054,K00054: hydroxymethylglutaryl-CoA reductase,5.93E-05,0,1.34E-05,2.47E-05,6.89E-06,1.18E-05,2.80E-05,2.84E-05,0,0,2.81E-05,3.02E-05,1.18E-05,0,0,0,2.04E-05,6.11E-06,2.45E-05,6.63E-06,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid_backbone_biosynthesis,mvaA; hydroxymethylglutaryl-CoA reductase
K00055,K00055: aryl-alcohol dehydrogenase,0,0,2.36E-05,0,0,2.78E-05,0,0,0,1.38E-05,0,0,0,0,0,0,0,2.12E-05,2.79E-05,0,Metabolism,Amino acid metabolism,Tyrosine_metabolism,E1.1.1.90; aryl-alcohol dehydrogenase
K00057,K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+),0.000437528,0.000656383,0.000657131,0.000819647,0.000708454,0.000670262,0.000688095,0.000642822,0.000732438,0.000818921,0.000659495,0.000682344,0.00068661,0.000686573,0.000686924,0.000796754,0.000749573,0.000668252,0.000726726,0.000677318,Metabolism,Lipid metabolism,Glycerophospholipid_metabolism,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00058,K00058: D-3-phosphoglycerate dehydrogenase,0.00109984,0.000975064,0.00105025,0.00101001,0.0010392,0.00094533,0.000906736,0.000895482,0.000810729,0.0010238,0.000955379,0.000913813,0.000995394,0.00110149,0.000916141,0.000938345,0.000978524,0.000995574,0.00107769,0.00122356,Metabolism,Energy metabolism,Methane_metabolism,serA PHGDH; D-3-phosphoglycerate dehydrogenase
K00059,K00059: 3-oxoacyl-[acyl-carrier protein] reductase,0.00190979,0.00158184,0.0016568,0.00159683,0.00163001,0.00182738,0.0015551,0.00185913,0.00163089,0.00143122,0.00166756,0.00168013,0.00185749,0.00156036,0.00159078,0.00190753,0.00172523,0.00146496,0.0015116,0.00165014,Metabolism,Lipid metabolism,Fatty_acid_biosynthesis,fabG; 3-oxoacyl-[acyl-carrier protein] reductase
K00060,K00060: threonine 3-dehydrogenase,0.00013336,4.79E-05,0.000166419,1.55E-05,8.25E-05,8.87E-05,7.96E-05,7.53E-05,0.000110009,0.000148792,5.64E-05,7.27E-05,7.84E-05,5.54E-05,6.69E-05,9.85E-05,5.79E-05,0.000142444,8.20E-05,8.99E-05,Metabolism,Amino acid metabolism,Glycine_serine_and_threonine_metabolism,tdh; threonine 3-dehydrogenase
K00063,K00063: D-arabinose 1-dehydrogenase,0,0,0,1.62E-05,0,7.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
K00064,K00064: D-threo-aldose 1-dehydrogenase,4.69E-05,3.85E-05,3.23E-05,3.61E-05,7.22E-05,3.80E-05,2.94E-05,6.91E-05,6.70E-05,5.77E-05,4.45E-05,4.76E-05,7.13E-05,9.92E-05,4.39E-05,6.29E-05,4.08E-05,2.91E-05,2.87E-05,7.93E-05,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.122; D-threo-aldose 1-dehydrogenase
K00065,K00065: 2-deoxy-D-gluconate 3-dehydrogenase,0.000265624,7.76E-05,0.000157319,0.000139346,0.000101484,0.000140251,0.000122566,0.000113739,9.70E-05,6.03E-05,9.40E-05,9.81E-05,0.000117482,0.000110403,6.19E-05,7.63E-05,0.000198509,7.01E-05,0.000150941,7.82E-05,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,kduD; 2-deoxy-D-gluconate 3-dehydrogenase
K00066,K00066: GDP-mannose 6-dehydrogenase,9.00E-06,1.94E-05,0,0,0,5.97E-06,9.07E-06,1.70E-05,0,6.06E-06,0,0,1.72E-05,0,0,0,0,0,6.02E-06,0,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,algD; GDP-mannose 6-dehydrogenase
K00067,K00067: dTDP-4-dehydrorhamnose reductase,0.000788768,0.000978017,0.000884423,0.000618387,0.000824682,0.000876302,0.000943538,0.00084923,0.000895358,0.000850773,0.000891573,0.00102567,0.000860004,0.00110347,0.00102066,0.00102216,0.000964081,0.000841439,0.000777662,0.000769705,Metabolism,Metabolism of terpenoids and polyketides,Polyketide_sugar_unit_biosynthesis,rfbD rmlD; dTDP-4-dehydrorhamnose reductase
K00068,K00068: sorbitol-6-phosphate 2-dehydrogenase,6.14E-05,4.27E-05,0.00010907,9.85E-05,2.11E-05,5.75E-05,2.99E-05,6.36E-05,8.56E-05,8.80E-05,5.85E-05,6.39E-05,6.54E-05,4.48E-05,4.38E-05,7.38E-05,5.31E-05,9.82E-05,4.67E-05,2.07E-05,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,srlD; sorbitol-6-phosphate 2-dehydrogenase
K00069,K00069: 15-hydroxyprostaglandin dehydrogenase (NAD),0,0,0,0,0,0,0,9.55E-06,8.91E-06,0,0,0,9.85E-06,0,0,8.53E-06,0,1.03E-05,0,0,Human Diseases,Cancers,Transcriptional_misregulation_in_cancers,HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD)
K00073,K00073: ureidoglycolate dehydrogenase,7.31E-05,0,0,0,1.69E-05,2.98E-05,1.13E-05,2.08E-05,0,0,0,1.25E-05,1.43E-05,0,1.15E-05,0,3.34E-05,7.47E-06,5.23E-05,1.65E-05,Metabolism,Nucleotide metabolism,Purine_metabolism,allD; ureidoglycolate dehydrogenase (NAD+)
K00074,K00074: 3-hydroxybutyryl-CoA dehydrogenase,0.000395138,0.000213627,0.000351155,0.000273879,0.000385826,0.000260021,0.000375665,0.000254423,0.000317292,0.00038681,0.000337363,0.000333768,0.000392629,0.000263891,0.000274448,0.000297634,0.000375967,0.000330047,0.000489031,0.000345211,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,paaH hbd fadB mmgB; 3-hydroxybutyryl-CoA dehydrogenase
K00075,K00075: UDP-N-acetylmuramate dehydrogenase,0.000580993,0.000702444,0.000752675,0.000550109,0.000704826,0.000542657,0.000723797,0.000720816,0.000754767,0.000797529,0.000723652,0.000760647,0.000685561,0.00062737,0.00063088,0.000676517,0.000678412,0.000732477,0.00067511,0.000622604,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,murB; UDP-N-acetylmuramate dehydrogenase
K00076,K00076: 7-alpha-hydroxysteroid dehydrogenase,0.000116561,6.66E-05,2.28E-05,0,8.02E-05,7.07E-05,1.51E-05,3.79E-05,3.55E-05,4.11E-05,4.75E-05,1.69E-05,4.94E-05,3.13E-05,3.05E-05,4.22E-05,5.65E-05,4.13E-05,9.14E-05,5.60E-05,None,None,None,None
K00077,K00077: 2-dehydropantoate 2-reductase,0.000400609,0.000469664,0.000421969,0.000245932,0.000554048,0.000458808,0.000549198,0.000471171,0.000481313,0.000467745,0.000541917,0.000536778,0.00046001,0.000606057,0.000571149,0.000454641,0.000589623,0.000477765,0.000488273,0.000541256,Metabolism,Metabolism of cofactors and vitamins,Pantothenate_and_CoA_biosynthesis,panE apbA; 2-dehydropantoate 2-reductase
K00078,K00078: D-xylose 1-dehydrogenase (NADP),7.53E-05,0.00010656,6.00E-05,6.33E-05,0.000102346,9.80E-05,0.000128645,7.82E-05,4.04E-05,7.69E-05,9.52E-05,0.000101943,9.53E-05,0.000115533,8.14E-05,7.60E-05,7.63E-05,7.68E-05,8.41E-05,9.88E-05,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)
K00079,K00079: carbonyl reductase (NADPH),4.54E-05,1.05E-05,2.24E-05,0,0,4.35E-05,2.80E-05,1.81E-05,0,0,1.49E-05,2.48E-05,3.26E-05,0,0,0,1.66E-05,0,9.63E-06,2.20E-05,Metabolism,Lipid metabolism,Arachidonic_acid_metabolism,CBR1; carbonyl reductase 1
K00081,K00081: prostaglandin-E2 9-reductase,0,0,0,0,0,0,0,0,0,9.45E-06,0,0,0,0,0,0,0,9.51E-06,0,0,Metabolism,Lipid metabolism,Arachidonic_acid_metabolism,CBR2; carbonyl reductase 2
K00082,K00082: 5-amino-6-(5-phosphoribosylamino)uracil reductase,3.55E-05,5.60E-05,0.000125456,0,9.87E-05,8.34E-05,4.96E-05,5.26E-05,9.44E-05,9.02E-05,3.45E-05,9.06E-05,0.00011768,8.51E-05,0.000100076,8.16E-05,7.46E-05,0.000113821,9.92E-05,8.47E-05,Metabolism,Metabolism of cofactors and vitamins,Riboflavin_metabolism,ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase
K00085,K00085: aldose-6-phosphate reductase (NADPH2),0,0,0,0,0,8.29E-06,0,0,0,0,0,0,0,0,0,0,9.31E-06,0,0,0,None,None,None,None
K00086,K00086: 13-propanediol dehydrogenase,0.00011019,5.81E-05,0.000113158,9.54E-05,6.85E-05,0.000120412,0.000103144,7.02E-05,5.93E-05,0.000107658,0.000115438,0.000145773,9.78E-05,0.00010507,8.23E-05,9.05E-05,8.96E-05,0.000121758,9.36E-05,8.22E-05,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,dhaT; 13-propanediol dehydrogenase
