Gene,Name,Category,SuperPathway,SubPathway,KOAnnot,A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,S,J,Q,R,T
K00015,K00015: glyoxylate reductase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,gyaR; glyoxylate reductase,3.83E-05,4.38E-05,9.04E-06,1.59E-05,4.46E-05,4.11E-05,3.61E-05,4.43E-05,3.51E-05,4.85E-05,1.33E-05,6.14E-05,6.13E-05,8.43E-05,4.7E-05,7.15E-05,3.18E-05,6.2E-05,8.12E-06,4.41E-05
K00016,K00016: L-lactate dehydrogenase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,LDH ldh; L-lactate dehydrogenase,0.000595614,0.000440668,0.000588167,0.000520564,0.000589318,0.000549653,0.000478627,0.000441322,0.000605842,0.000590186,0.000601567,0.00045936,0.000394987,0.000476987,0.000592986,0.000534981,0.000532394,0.000559949,0.000550811,0.000547909
K00018,K00018: glycerate dehydrogenase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,hprA; glycerate dehydrogenase,0.000541989,0.000548785,0.000473014,0.000481478,0.000529404,0.00057031,0.000571522,0.000439703,0.000518093,0.000376841,0.000418128,0.000507782,0.00045321,0.000507605,0.000496049,0.00042186,0.000430196,0.000406842,0.000547355,0.00050077
K00019,K00019: 3-hydroxybutyrate dehydrogenase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E1.1.1.30 bdh; 3-hydroxybutyrate dehydrogenase,9.69E-05,2.2E-05,8.97E-05,2.04E-05,5.57E-05,4.03E-05,4.58E-05,4.66E-05,2.67E-05,3.09E-05,0,5.87E-05,4.63E-05,1.52E-05,2.53E-05,6.99E-05,3.95E-05,3.32E-05,5.02E-05,6.58E-05
K00022,K00022: 3-hydroxyacyl-CoA dehydrogenase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,HADH; 3-hydroxyacyl-CoA dehydrogenase,0,8.57E-06,8.85E-06,6.13E-06,0,2.38E-05,0,7.37E-06,1.38E-05,1.25E-05,1.34E-05,7.61E-06,0,0,1.32E-05,7.89E-06,7.9E-06,1.79E-05,7.95E-06,0
K00023,K00023: acetoacetyl-CoA reductase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,E1.1.1.36 phbB; acetoacetyl-CoA reductase,5.27E-05,9.17E-05,0.000141883,8.57E-05,0.000107775,5.21E-05,6.54E-05,8.75E-05,9.18E-05,9.76E-05,6.82E-05,8.09E-05,0.000131317,0.000145001,9.63E-05,9.37E-05,0.000105824,7.02E-05,0.000147364,0.000128425
K00024,K00024,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,mdh; malate dehydrogenase,0.000223663,0.000396959,0.00030087,0.000421698,0.000328555,0.000318722,0.000304915,0.00030007,0.000416233,0.000426096,0.000344814,0.000341138,0.000564151,0.000528189,0.00039154,0.000264769,0.000285025,0.000321779,0.000377382,0.000375063
K00025,K00025: malate dehydrogenase,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,MDH1; malate dehydrogenase,0,0,0,1.59E-05,0,7.67E-06,0,0,0,0,0,7.49E-06,0,0,0,0,0,0,0,0
K00026,K00026: malate dehydrogenase,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,MDH2; malate dehydrogenase,0,0,0,0,0,0,0,0,6.75E-06,0,0,0,0,0,0,0,0,0,0,0
K00027,K00027: malate dehydrogenase (oxaloacetate-decarboxylating),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,ME2 sfcA maeA; malate dehydrogenase (oxaloacetate-decarboxylating),0.000383021,0.000443747,0.000544066,0.000437791,0.00049088,0.000481862,0.000439772,0.000396065,0.000479035,0.000507425,0.000501811,0.000407767,0.00038658,0.000382418,0.000477556,0.000438108,0.000473266,0.000494941,0.000596038,0.000381922
K00028,K00028: malate dehydrogenase (decarboxylating),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.39; malate dehydrogenase (decarboxylating),5.48E-06,0,0,0,0,6.54E-06,0,0,0,0,0,3.25E-06,0,0,0,0,0,0,0,7.33E-06
K00029,K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.40 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),0.000121102,0.000226841,0.000120383,0.000334271,0.000115611,0.000140577,0.000158836,0.000111006,0.000122691,0.000137504,0.000188707,0.000170021,0.000244014,0.000191713,0.000127594,0.000161537,0.000108098,0.000163313,0.000101147,0.000105452
K00030,K00030: isocitrate dehydrogenase (NAD+),Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,IDH3; isocitrate dehydrogenase (NAD+),0.000150523,6.02E-05,0.000123443,8.32E-05,0.000158979,0.000172325,0.000119432,6.82E-05,8.5E-05,1.07E-05,9.64E-05,5.94E-05,5.24E-05,7.53E-05,0.000107257,0.000116399,0.000109441,0.000116942,0.000118609,0.000146055
K00031,K00031: isocitrate dehydrogenase,Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,IDH1 IDH2 icd; isocitrate dehydrogenase,0.000459001,0.000467573,0.000470014,0.000455366,0.000459658,0.000462402,0.000406505,0.000452761,0.000498762,0.000379505,0.000507983,0.000429116,0.000601438,0.000381367,0.000508312,0.000432346,0.0004933,0.000508619,0.000498139,0.00049791
K00033,K00033: 6-phosphogluconate dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,PGD gnd gntZ; 6-phosphogluconate dehydrogenase,0.000191051,0.000236707,0.000137446,0.00012799,0.000208639,0.000176861,0.000209163,0.000205925,0.000172492,0.000180273,0.000196502,0.000184596,0.000232686,0.000241926,0.000156279,0.000221887,0.000117713,0.000227295,8.98E-05,0.000167901
K00034,K00034: glucose 1-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,gdh; glucose 1-dehydrogenase,9.86E-05,2.13E-05,1.07E-05,0,1.13E-05,5.01E-05,3.03E-05,1.91E-05,8.14E-06,1.53E-05,0,2.99E-05,0,1.45E-05,2.47E-05,3.01E-05,9.55E-06,1.11E-05,3.96E-05,3.3E-05
K00036,K00036: glucose-6-phosphate 1-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,G6PD zwf; glucose-6-phosphate 1-dehydrogenase,0.000137983,0.000180243,9.99E-05,6.47E-05,0.000144993,0.000112708,0.000142593,0.000150626,0.000112786,0.000177065,0.0001643,0.000155277,0.00021181,0.000222414,0.000109489,0.000207255,9.36E-05,0.000160932,8.32E-05,0.000136996
K00040,K00040: fructuronate reductase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,uxuB; fructuronate reductase,0.000231031,0.000173324,0.000195137,0.000257078,0.000211766,0.000201475,0.000199588,0.000159478,0.000185236,0.000223981,0.00022338,0.000136357,0.000180107,0.000176384,0.000206339,0.00019877,0.000227201,0.000280718,0.000262947,0.000213325
K00041,K00041: tagaturonate reductase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,uxaB; tagaturonate reductase,0.000275398,0.000249173,0.000164965,0.000425424,0.000214414,0.000214129,0.000218309,0.000227292,0.000223051,0.000253134,0.000281334,0.000173618,0.000205585,0.000233917,0.000195056,0.000267742,0.000163477,0.000229159,0.000196242,0.00024419
K00042,K00042: 2-hydroxy-3-oxopropionate reductase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,garR glxR; 2-hydroxy-3-oxopropionate reductase,0.000213633,0.000144968,0.000128772,7.27E-05,0.000227929,0.000156114,0.000121649,0.000131944,0.000123833,0.00013602,8.71E-05,9.36E-05,0.000136201,0.000147874,0.000125799,0.000113915,0.000115637,0.000176048,0.000168712,0.000204369
K00043,K00043: 4-hydroxybutyrate dehydrogenase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,gbd; 4-hydroxybutyrate dehydrogenase,0.000136326,3.03E-05,5.48E-05,7.12E-05,6.27E-05,6.89E-05,5.33E-05,6.52E-05,3.04E-05,0.000118447,5.77E-05,6.06E-05,4.32E-05,6.37E-05,5.83E-05,9.72E-05,6.99E-05,5.42E-05,6.33E-05,9.97E-05
K00045,K00045: mannitol 2-dehydrogenase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.67 mtlK; mannitol 2-dehydrogenase,0,1.71E-05,5.78E-06,1.09E-05,1.76E-05,5.08E-06,7.86E-06,9.73E-06,1.82E-05,7.95E-06,8.51E-06,1E-05,3.24E-05,2.39E-05,8.79E-06,5.12E-06,5.16E-06,5.71E-06,5.19E-06,1.72E-05
K00048,K00048: lactaldehyde reductase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fucO; lactaldehyde reductase,0.000242681,0.000493611,0.000486906,0.000553357,0.00034196,0.000448924,0.000507598,0.000392514,0.000443017,0.000502832,0.000537981,0.00045755,0.000356689,0.000360918,0.000436041,0.000546344,0.000475424,0.000571279,0.000416661,0.000454451
K00049,K00049: glyoxylate reductase (NADP+),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,GRHPR; glyoxylate/hydroxypyruvate reductase,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16E-05,0,0,0,0,0,0
K00050,K00050: hydroxypyruvate reductase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,ttuD; hydroxypyruvate reductase,4.91E-05,6.73E-05,8.17E-05,0.000136294,0.000165631,8.5E-05,0.000149361,0.000156301,0.000144573,0.000169763,0.000142982,0.000172118,0.000134677,0.000142529,0.000164154,0.000110812,9.87E-05,9.6E-05,0.000123899,0.000162559
K00051,K00051: malate dehydrogenase (NADP+),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.1.82; malate dehydrogenase (NADP+),0,8.13E-06,8.39E-06,1.53E-05,0,0,0,0,1.3E-05,0,0,0,0,0,6.25E-06,0,7.49E-06,0,7.53E-06,0
K00052,K00052: 3-isopropylmalate dehydrogenase,Metabolism,Carbohydrate metabolism,C5-Branched_dibasic_acid_metabolism,leuB; 3-isopropylmalate dehydrogenase,0.000630988,0.000599949,0.000632004,0.00070361,0.000617283,0.00065084,0.000626361,0.000510871,0.000533367,0.000542152,0.000631861,0.000599246,0.000614674,0.000679957,0.000516282,0.000637158,0.000604881,0.000634189,0.000573589,0.000691948
K00064,K00064: D-threo-aldose 1-dehydrogenase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.122; D-threo-aldose 1-dehydrogenase,4.69E-05,3.85E-05,3.23E-05,3.61E-05,7.22E-05,3.8E-05,2.94E-05,6.91E-05,6.7E-05,4.45E-05,4.76E-05,7.13E-05,9.92E-05,4.39E-05,6.29E-05,2.87E-05,5.77E-05,4.08E-05,2.91E-05,7.93E-05
K00065,K00065: 2-deoxy-D-gluconate 3-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,kduD; 2-deoxy-D-gluconate 3-dehydrogenase,0.000265624,7.76E-05,0.000157319,0.000139346,0.000101484,0.000140251,0.000122566,0.000113739,9.7E-05,9.4E-05,9.81E-05,0.000117482,0.000110403,6.19E-05,7.63E-05,0.000150941,6.03E-05,0.000198509,7.01E-05,7.82E-05
K00066,K00066: GDP-mannose 6-dehydrogenase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,algD; GDP-mannose 6-dehydrogenase,9E-06,1.94E-05,0,0,0,5.97E-06,9.07E-06,1.7E-05,0,0,0,1.72E-05,0,0,0,6.02E-06,6.06E-06,0,0,0
K00068,K00068: sorbitol-6-phosphate 2-dehydrogenase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,srlD; sorbitol-6-phosphate 2-dehydrogenase,6.14E-05,4.27E-05,0.00010907,9.85E-05,2.11E-05,5.75E-05,2.99E-05,6.36E-05,8.56E-05,5.85E-05,6.39E-05,6.54E-05,4.48E-05,4.38E-05,7.38E-05,4.67E-05,8.8E-05,5.31E-05,9.82E-05,2.07E-05
K00074,K00074: 3-hydroxybutyryl-CoA dehydrogenase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,paaH hbd fadB mmgB; 3-hydroxybutyryl-CoA dehydrogenase,0.000395138,0.000213627,0.000351155,0.000273879,0.000385826,0.000260021,0.000375665,0.000254423,0.000317292,0.000337363,0.000333768,0.000392629,0.000263891,0.000274448,0.000297634,0.000489031,0.00038681,0.000375967,0.000330047,0.000345211
K00075,K00075: UDP-N-acetylmuramate dehydrogenase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,murB; UDP-N-acetylmuramate dehydrogenase,0.000580993,0.000702444,0.000752675,0.000550109,0.000704826,0.000542657,0.000723797,0.000720816,0.000754767,0.000723652,0.000760647,0.000685561,0.00062737,0.00063088,0.000676517,0.00067511,0.000797529,0.000678412,0.000732477,0.000622604
K00078,K00078: D-xylose 1-dehydrogenase (NADP),Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP),7.53E-05,0.00010656,6E-05,6.33E-05,0.000102346,9.8E-05,0.000128645,7.82E-05,4.04E-05,9.52E-05,0.000101943,9.53E-05,0.000115533,8.14E-05,7.6E-05,8.41E-05,7.69E-05,7.63E-05,7.68E-05,9.88E-05
K00086,K00086: 13-propanediol dehydrogenase,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,dhaT; 13-propanediol dehydrogenase,0.00011019,5.81E-05,0.000113158,9.54E-05,6.85E-05,0.000120412,0.000103144,7.02E-05,5.93E-05,0.000115438,0.000145773,9.78E-05,0.00010507,8.23E-05,9.05E-05,9.36E-05,0.000107658,8.96E-05,0.000121758,8.22E-05
K00090,K00090: gluconate 2-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,E1.1.1.215; gluconate 2-dehydrogenase,2.57E-05,2.61E-05,0,0,2.69E-05,2.35E-05,1.2E-05,7.39E-06,6.98E-06,1.22E-05,0,2.27E-05,0,3.58E-05,0,7.87E-06,8.02E-06,4.35E-05,0,8.64E-06
K00094,K00094: galactitol-1-phosphate 5-dehydrogenase,Metabolism,Carbohydrate metabolism,Galactose_metabolism,E1.1.1.251 gatD; galactitol-1-phosphate 5-dehydrogenase,6.1E-05,3.25E-05,4.17E-05,0,5.89E-05,5.9E-05,6.87E-05,4.9E-05,2.61E-05,4.61E-05,3.7E-05,3.6E-05,3.48E-05,3.42E-05,2.5E-05,5.21E-05,4.49E-05,6.62E-05,3.77E-05,4.94E-05
K00100,K00100,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E1.1.1.-;,0.00194357,0.00171675,0.00159135,0.00123952,0.00197194,0.00226167,0.00196006,0.00178052,0.00180691,0.00178433,0.0018748,0.00181829,0.00188163,0.00195165,0.00176967,0.00191735,0.00162368,0.00202671,0.00158738,0.00179028
K00101,K00101: L-lactate dehydrogenase (cytochrome),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.1.2.3 lldD; L-lactate dehydrogenase (cytochrome),3.14E-05,2.91E-05,3.01E-05,1.4E-05,1.49E-05,2.64E-05,4.12E-05,1.22E-05,0,0,2.14E-05,3.77E-05,2.1E-05,9.38E-06,5.72E-06,2.64E-05,6.7E-06,1.49E-05,6.74E-06,2.19E-05
K00102,K00102: D-lactate dehydrogenase (cytochrome),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,dld LDHD; D-lactate dehydrogenase (cytochrome),2.88E-05,5.57E-05,2.4E-05,3.7E-05,3.09E-05,6.61E-05,6.02E-05,3.84E-05,2.89E-05,2.45E-05,3.42E-05,6.3E-05,2.94E-05,3.98E-05,2.78E-05,4.41E-05,2.3E-05,3.47E-05,2.38E-05,4.01E-05
K00103,K00103: L-gulonolactone oxidase,Metabolism,Carbohydrate metabolism,Ascorbate_and_aldarate_metabolism,GULO; L-gulonolactone oxidase,0,0,6.56E-06,2.47E-05,0,5.77E-06,8.93E-06,0,0,0,0,1.09E-05,0,0,0,5.87E-06,0,6.44E-06,0,0
K00104,K00104: glycolate oxidase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,glcD; glycolate oxidase,0.000268963,0.000200873,0.000203607,4.86E-05,0.000172903,0.000190818,0.00031342,0.000242007,0.000202949,0.000279311,0.000263877,0.000275895,0.000237908,0.00023675,0.00019778,0.000278128,0.000178034,0.000228445,0.000178635,0.000210748
K00109,K00109: 2-hydroxyglutarate dehydrogenase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E1.1.99.2; 2-hydroxyglutarate dehydrogenase,0,0,6.22E-06,0,1.25E-05,0,1.71E-05,1.59E-05,9.79E-06,9.79E-06,1.85E-05,1.1E-05,8.58E-06,0,4.63E-06,1.1E-05,5.92E-06,1.88E-05,5.59E-06,1.83E-05
K00114,K00114: alcohol dehydrogenase (acceptor),Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,exaA; alcohol dehydrogenase (cytochrome c),6.14E-06,0,8.25E-06,7.48E-06,4.13E-06,7.32E-06,5.61E-06,3.36E-06,0,0,0,7.06E-06,5.69E-06,0,0,3.66E-06,0,0,0,3.84E-06
K00116,K00116: malate dehydrogenase (acceptor),Metabolism,Carbohydrate metabolism,Citrate_cycle_TCA_cycle,mqo; malate dehydrogenase (quinone),2.63E-05,5.56E-06,0,0,1.06E-05,0,0,1.5E-05,0,7.09E-06,0,1.54E-05,0,0,0,2.04E-05,0,5.29E-06,0,0
K00117,K00117: quinoprotein glucose dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_phosphate_pathway,gcd; quinoprotein glucose dehydrogenase,1.41E-05,0,0,0,0,6.46E-06,0,1.52E-05,0,0,8.93E-06,9.43E-06,5.01E-06,8.23E-06,0,2.48E-05,5.41E-06,3.32E-05,0,2.72E-05
K00121,K00121: S-(hydroxymethyl)glutathione dehydrogenase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,frmA ADH5 adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,3.41E-05,1.52E-05,7.89E-06,0,7.86E-06,4.85E-05,0,1.95E-05,0,0,0,2.67E-05,0,1.04E-05,0,2.75E-05,0,2.33E-05,0,2.27E-05
K00122,K00122: formate dehydrogenase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,FDH; formate dehydrogenase,3.72E-05,7.12E-06,4.28E-05,1.56E-05,2.15E-05,1.68E-05,4.98E-05,2.71E-05,2.8E-05,2.04E-05,1.54E-05,4.71E-05,1.99E-05,5.62E-06,1.58E-05,4.09E-05,3.27E-05,2.71E-05,9.65E-06,1.25E-05
K00123,K00123: formate dehydrogenase alpha subunit,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fdoG fdfH; formate dehydrogenase major subunit,0.000394112,0.000124401,0.000192139,0.000243058,0.000222999,0.0002329,0.000177917,0.00019096,8.6E-05,0.000198235,0.000121354,0.000192098,0.000137409,0.000136477,9.19E-05,0.000221837,0.000165425,0.000211912,0.00019784,0.000257945
K00124,K00124: formate dehydrogenase beta subunit,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fdoH; formate dehydrogenase iron-sulfur subunit,0.000122396,3.8E-05,5.16E-05,3.73E-05,6.48E-05,9.21E-05,8.56E-05,5.12E-05,0,5.97E-05,1.45E-05,6.28E-05,7.43E-06,5.49E-05,3.76E-05,4.03E-05,1.25E-05,6.79E-05,3.72E-05,9.17E-05
K00125,K00125: formate dehydrogenase beta subunit,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,E1.2.1.2B2; formate dehydrogenase beta subunit,0,0,2.24E-05,0,0,6.38E-06,0,1.19E-05,0,0,0,1.23E-05,0,0,0,0,1.31E-05,0,3.27E-05,0
K00126,K00126: formate dehydrogenase delta subunit,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fdsD; formate dehydrogenase subunit delta,0,0,2.85E-05,0,0,2.51E-05,0,0,0,0,4.2E-05,0,0,0,0,0,0,0,0,0
K00127,K00127: formate dehydrogenase gamma subunit,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,fdoI; formate dehydrogenase subunit gamma,6.93E-05,1.19E-05,8.57E-05,0,5.2E-05,5.99E-05,5.19E-05,6.28E-05,2.24E-05,7.38E-05,2.44E-05,5.11E-05,4.18E-05,2.24E-05,2.15E-05,4.92E-05,3.77E-05,7.09E-05,2.68E-05,5.42E-05
K00128,K00128: aldehyde dehydrogenase (NAD+),Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,E1.2.1.3; aldehyde dehydrogenase (NAD+),0.00041403,0.000236047,0.000338369,0.000271937,0.000331094,0.000403067,0.000379447,0.000317107,0.00024728,0.000297768,0.000229475,0.000300299,0.0002762,0.000277335,0.000245775,0.000353275,0.000311984,0.000284944,0.000294987,0.000382648
K00129,K00129: aldehyde dehydrogenase (NAD(P)+),Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,E1.2.1.5; aldehyde dehydrogenase (NAD(P)+),0,5.87E-06,1.86E-05,0,0,5.5E-06,8.52E-06,5.05E-06,1.45E-05,0,9.32E-06,5.21E-06,0,0,9.28E-06,5.38E-06,5.41E-06,5.99E-06,1.09E-05,5.75E-06
K00131,K00131: glyceraldehyde-3-phosphate dehydrogenase (NADP),Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+),1.78E-05,0,0,0,0,5.27E-06,0,1E-05,4.7E-06,0,0,2.08E-05,0,0,4.51E-06,0,0,0,1.1E-05,5.93E-06
K00132,K00132: acetaldehyde dehydrogenase (acetylating),Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E1.2.1.10; acetaldehyde dehydrogenase (acetylating),3.34E-05,5.54E-06,5.47E-06,0,1.12E-05,1.01E-05,7.8E-06,0,8.7E-06,3.85E-05,8.66E-06,4.82E-06,2.38E-05,0,0,4.51E-05,5.11E-06,1.13E-05,0,1.66E-05
K00134,K00134: glyceraldehyde 3-phosphate dehydrogenase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,GAPDH gapA; glyceraldehyde 3-phosphate dehydrogenase,0.000805964,0.000874279,0.000779763,0.000751707,0.000768102,0.000737904,0.000661311,0.000810998,0.00100816,0.000687408,0.000793235,0.000786241,0.000707277,0.000709754,0.000914994,0.000704921,0.000961443,0.000688069,0.000834099,0.000783457
K00135,K00135: succinate-semialdehyde dehydrogenase (NADP+),Metabolism,Carbohydrate metabolism,Butanoate_metabolism,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase,3.57E-05,2.91E-05,3.56E-05,3.29E-05,5.37E-05,6.89E-05,3.27E-05,6.61E-05,1.46E-05,3.37E-05,1.78E-05,9.4E-05,4.98E-05,1.61E-05,1.83E-05,5.31E-05,1.1E-05,3.58E-05,1.62E-05,2.93E-05
K00138,K00138: lactaldehyde dehydrogenase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,aldB; aldehyde dehydrogenase,0,0,0,0,0,0,0,0,0,0,0,0,7.41E-06,0,0,0,0,0,0,0
