	Gene	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat	Category	SuperPathway	SubPathway	KOAnnot
10	K00011	K00011: aldehyde reductase	0.000113862	0.0	5.15e-05	4.6899999999999995e-05	8.51e-05	0.000164114	8.740000000000001e-05	5.25e-05	6.670000000000001e-05	8.68e-05	6.43e-05	0.00011643299999999999	0.000132965	8.950000000000001e-05	4.66e-05	5.8200000000000005e-05	0.0	2.9199999999999998e-05	5.56e-05	6.579999999999999e-05	3.3299999999999996e-05	9.4e-05	3.53e-05	4.02e-05	5.2300000000000004e-05	4.3700000000000005e-05	3.77e-05	4.6700000000000003e-05	0.0	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	E1.1.1.21 AKR1; aldehyde reductase
11	K00012	K00012: UDPglucose 6-dehydrogenase	0.000497455	0.0	0.000596369	0.0005848159999999999	0.00030130900000000004	0.000485825	0.000573786	0.000586832	0.00048385699999999997	0.0006604260000000001	0.0005077619999999999	0.000546675	0.00029508299999999997	0.000446546	0.000599776	0.000651653	0.0	0.000458105	0.000514991	0.000614428	0.00118499	0.0005574019999999999	0.000621995	0.0006933330000000001	0.000692452	0.0005501	0.000749267	0.0007796810000000001	0.000279169	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	UGDH ugd; UDPglucose 6-dehydrogenase
12	K00013	K00013: histidinol dehydrogenase	0.000500173	0.0	0.000518059	0.000597514	0.000490427	0.00044037199999999996	0.000361665	0.00045753199999999997	0.000477634	0.000402264	0.00043950900000000004	0.0005193	0.000484489	0.000509608	0.00049066	0.00048824800000000005	0.0	0.000283049	0.000537303	0.000526939	0.0005839759999999999	0.0005113919999999999	0.000464815	0.000544959	0.000559815	0.0004883569999999999	0.000618802	0.000600024	0.000470893	Metabolism	Amino acid metabolism	Histidine_metabolism	hisD; histidinol dehydrogenase
13	K00014	K00014: shikimate 5-dehydrogenase	0.000976883	0.0	0.00108458	0.000939712	0.00098737	0.00108323	0.00073162	0.0008893369999999999	0.000972471	0.0007999330000000001	0.000860985	0.000917846	0.0009586989999999999	0.0008638	0.00082163	0.000893657	0.0	0.000561314	0.0008388460000000001	0.000821362	0.000876354	0.000945935	0.0008025710000000001	0.000797799	0.0008195510000000001	0.0008772610000000001	0.000940526	0.000844406	0.00137943	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	aroE; shikimate dehydrogenase
14	K00015	K00015: glyoxylate reductase	1.32e-05	0.0	1.95e-05	5.08e-05	2.7600000000000003e-05	1.4400000000000001e-05	0.0	3.3799999999999995e-05	0.00010680299999999999	2.42e-05	2.05e-05	2.27e-05	1.3000000000000001e-05	2.68e-05	7.730000000000001e-05	5.12e-05	0.0	2.46e-05	6.159999999999999e-05	4.79e-05	3.2200000000000003e-05	3.289999999999999e-05	5.15e-05	3.9e-05	7.42e-05	4.2499999999999996e-05	5.93e-05	0.0	0.0	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	gyaR; glyoxylate reductase
15	K00016	K00016: L-lactate dehydrogenase	0.000605291	0.0	0.000595425	0.000648912	0.0007377999999999999	0.0008202410000000001	0.0007310919999999999	0.000630926	0.000557999	0.000516675	0.0005651380000000001	0.00069287	0.0008596439999999999	0.00065454	0.000586473	0.000544755	0.0	0.000629358	0.000531502	0.000514858	0.00042385800000000005	0.000541819	0.000518667	0.000515576	0.000588789	0.0006630539999999999	0.000638236	0.000675432	0.000257512	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	LDH ldh; L-lactate dehydrogenase
16	K00018	K00018: glycerate dehydrogenase	0.000381969	0.0	0.000387505	0.0005092969999999999	0.000378706	0.000422687	0.000174996	0.000526136	0.000509971	0.00045161	0.000493517	0.000446173	0.000381166	0.000523758	0.000518945	0.000526454	0.0	0.000308504	0.000550754	0.000478852	0.000462313	0.000490073	0.000454521	0.000423817	0.000360531	0.0005185319999999999	0.00039337800000000005	0.000439754	3.3e-06	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	hprA; glycerate dehydrogenase
17	K00019	K00019: 3-hydroxybutyrate dehydrogenase	4.96e-05	0.0	2.52e-05	4.18e-05	0.0	5.27e-05	7.18e-05	6.26e-05	0.000100776	6.02e-05	3.2200000000000003e-05	7.54e-05	0.0	2.46e-05	8.96e-05	9.290000000000001e-05	0.0	0.0	5.920000000000001e-05	4.94e-05	4.04e-05	8.290000000000001e-05	6.51e-05	4.05e-05	6.3e-05	3.53e-05	4.57e-05	7.140000000000001e-05	0.000316319	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E1.1.1.30 bdh; 3-hydroxybutyrate dehydrogenase
18	K00020	K00020: 3-hydroxyisobutyrate dehydrogenase	0.000131858	0.0	0.000130867	0.000122665	9.31e-05	0.000124256	6.25e-05	0.000202101	0.000175009	0.000158126	0.000113308	0.000151584	0.00023981	0.000160746	0.000125788	0.000122994	0.0	0.000222697	0.000151459	0.00015005200000000002	3.6e-05	0.000224673	6.87e-05	0.000136683	6.159999999999999e-05	0.000204425	8.209999999999999e-05	8.68e-05	1.27e-05	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	E1.1.1.31 mmsB; 3-hydroxyisobutyrate dehydrogenase
19	K00021	K00021: 3-hydroxy-3-methylglutaryl-CoA reductase	0.0	0.0	0.0	9.26e-06	0.0	0.0	0.0	4.55e-06	6.59e-06	4.89e-06	5.19e-06	2.33e-06	0.0	5.44e-06	4.5e-06	4.62e-06	0.0	0.0	1.25e-05	0.0	0.0	0.0	0.0	0.0	5.88e-06	0.0	0.0	9.23e-06	0.0	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH)
20	K00022	K00022: 3-hydroxyacyl-CoA dehydrogenase	0.0	0.0	0.0	2.3100000000000002e-05	0.0	0.0	0.0	1.13e-05	4.05e-05	5.95e-06	2.5300000000000002e-05	1.51e-05	0.0	6.61e-06	5.47e-06	5.62e-06	0.0	0.0	7.63e-06	1.6e-05	0.0	8.42e-06	1.1400000000000001e-05	1.29e-05	7.15e-06	1.4800000000000002e-05	0.0	1.12e-05	0.0	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	HADH; 3-hydroxyacyl-CoA dehydrogenase
21	K00023	K00023: acetoacetyl-CoA reductase	3.63e-05	0.0	6.659999999999999e-05	6.08e-05	5.610000000000001e-05	5.5700000000000005e-05	0.000152233	5.2000000000000004e-05	5.41e-05	8.75e-05	8.46e-05	8.070000000000001e-05	3.4399999999999996e-05	0.000124836	8.77e-05	0.000120616	0.0	0.0	0.00013363899999999999	4.22e-05	0.00012862100000000001	8.93e-05	0.000128875	0.000112449	0.00010530899999999999	9.54e-05	0.000145671	9.01e-05	6.29e-05	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	E1.1.1.36 phbB; acetoacetyl-CoA reductase
22	K00024	K00024	0.000175162	0.0	0.00023134900000000002	0.00016039600000000001	8.28e-05	7.140000000000001e-05	0.000114328	0.000170756	0.000203926	0.000297352	0.000140535	4.59e-05	0.000173485	0.000236884	0.000241485	0.00026963599999999996	0.0	0.000301271	0.000326856	0.000282069	0.000551147	0.00019271	0.00024213599999999997	0.000257207	0.00017932400000000002	0.00011602	0.000240329	0.000356724	0.000394159	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	mdh; malate dehydrogenase
23	K00027	K00027: malate dehydrogenase (oxaloacetate-decarboxylating)	0.00042562800000000005	0.0	0.00046447	0.00048769	0.000437214	0.00044893900000000003	0.00033141	0.000501842	0.00047431599999999996	0.00044076300000000005	0.000438576	0.000494189	0.000471668	0.000477591	0.000463982	0.000444954	0.0	0.000263078	0.0004308	0.000488747	0.00044123599999999996	0.000421547	0.00044007199999999996	0.000402135	0.000482349	0.000578537	0.00047661599999999996	0.00041197300000000005	0.000476476	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	ME2 sfcA maeA; malate dehydrogenase (oxaloacetate-decarboxylating)
24	K00028	K00028: malate dehydrogenase (decarboxylating)	5.65e-06	0.0	8.37e-06	0.0	1.15e-05	0.0	0.0	9.42e-06	6.78e-06	2.54e-06	0.0	9.5e-06	5.46e-06	2.82e-06	0.0	4.75e-06	0.0	2.08e-05	0.0	0.0	0.0	3.5e-06	2.41e-06	5.44e-06	3.05e-06	0.0	0.0	0.0	2.0399999999999998e-05	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.1.1.39; malate dehydrogenase (decarboxylating)
25	K00029	K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	9.070000000000001e-05	0.0	0.000103704	6.0299999999999995e-05	6.0299999999999995e-05	3.37e-05	2.72e-05	0.000110415	0.00010791799999999999	8.329999999999999e-05	7.11e-05	3.18e-05	3.65e-05	7.37e-05	0.000103752	0.000116654	0.0	0.00013563	7.809999999999999e-05	7.94e-05	0.000199345	9.46e-05	0.000112556	8.83e-05	9.22e-05	3.73e-05	9.17e-05	0.000158807	0.000248716	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.1.1.40 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
26	K00030	K00030: isocitrate dehydrogenase (NAD+)	0.000167343	0.0	9.259999999999999e-05	0.000180818	0.000129411	0.000121629	7.5e-05	0.000163785	0.000127143	0.00010569299999999999	0.000170768	0.000116505	0.000210385	0.00015724899999999998	0.00015419	0.00014680000000000002	0.0	0.0	0.00017393400000000002	0.00014094700000000002	0.000115139	0.000147635	0.000156475	0.000120836	0.000110462	0.000124249	8.49e-05	0.000136113	1.31e-06	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	IDH3; isocitrate dehydrogenase (NAD+)
27	K00031	K00031: isocitrate dehydrogenase	0.000437773	0.0	0.000360607	0.000502121	0.00041402400000000003	0.000347278	0.000506267	0.000356783	0.000428738	0.00041445	0.00043458699999999995	0.000484236	0.0003864	0.00043049699999999995	0.000444865	0.00041770699999999996	0.0	0.00030969200000000003	0.00038831900000000003	0.000532453	0.00051317	0.00039361400000000003	0.000387048	0.000433354	0.00043981	0.000362707	0.00054864	0.0005346130000000001	0.000273578	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	IDH1 IDH2 icd; isocitrate dehydrogenase
28	K00032	K00032: phosphogluconate 2-dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.64e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	E1.1.1.43; phosphogluconate 2-dehydrogenase
29	K00033	K00033: 6-phosphogluconate dehydrogenase	0.000196552	0.0	0.000242566	9.73e-05	0.000217664	9.89e-05	0.000153798	0.000163129	0.00013479600000000002	0.000171745	0.000127932	8.73e-05	0.00026812200000000003	0.00021648200000000002	0.00011460600000000001	0.000150699	0.0	0.000487931	0.000153541	0.000154694	0.00025109	0.000158854	0.000113831	0.000123254	0.00011873399999999999	0.00011363299999999999	7.269999999999999e-05	0.000210074	0.00127931	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	PGD gnd gntZ; 6-phosphogluconate dehydrogenase
30	K00034	K00034: glucose 1-dehydrogenase	3.4399999999999996e-05	0.0	9e-05	4.35e-05	0.000122234	1.76e-05	3.53e-05	1.39e-05	3.06e-05	5.2900000000000005e-05	5.5299999999999996e-05	5.6999999999999996e-05	3.26e-05	5e-05	6.0899999999999996e-05	3.4200000000000005e-05	0.0	0.00012811799999999998	0.000125103	2.94e-05	0.0	5.19e-05	2.11e-05	2.4e-05	1.82e-05	5.25e-05	0.0	5.610000000000001e-05	1.25e-05	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	gdh; glucose 1-dehydrogenase
31	K00036	K00036: glucose-6-phosphate 1-dehydrogenase	0.000121145	0.0	0.000137309	9.48e-05	0.000106305	0.000130111	0.00016622099999999998	9.470000000000001e-05	7.3e-05	0.000141781	5.379999999999999e-05	2.4100000000000003e-05	0.000132251	0.000116926	0.00010058200000000001	8.82e-05	0.0	0.000261357	0.00011102200000000001	0.000114374	0.000103784	0.000109122	6.68e-05	0.000131135	7.53e-05	0.000102126	0.000106493	0.000183946	0.000379502	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	G6PD zwf; glucose-6-phosphate 1-dehydrogenase
32	K00037	K00037: 3-alpha-hydroxysteroid dehydrogenase	1.7100000000000002e-05	0.0	0.0	1.3500000000000001e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.57e-05	1.7899999999999998e-05	0.0	1.65e-05	2.02e-05	0.0	0.0	0.0	1.9e-05	1.0199999999999999e-05	0.0	3.18e-05	1.4099999999999999e-05	7.73e-06	0.0	1.8100000000000003e-05	0.0	0.0	7.21e-06	Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	E1.1.1.50; 3-alpha-hydroxysteroid dehydrogenase
33	K00038	K00038: 3alpha(or 20beta)-hydroxysteroid dehydrogenase	1.65e-05	0.0	1.3000000000000001e-05	0.0	0.0	1.8100000000000003e-05	0.0	1.4300000000000002e-05	1.05e-05	2.34e-05	8.51e-06	4.970000000000001e-05	0.0	4.35e-05	6.93e-06	2.9199999999999998e-05	0.0	0.0	2.0300000000000002e-05	0.0	0.0	3.229999999999999e-05	1.4499999999999998e-05	2.52e-05	2.84e-05	0.0	0.0	1.51e-05	0.000133984	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase
34	K00039	K00039: ribitol 2-dehydrogenase	0.0	0.0	1.3500000000000001e-05	0.0	1.85e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.9100000000000003e-05	0.0	0.0	0.0	0.0	0.0	3.34e-05	0.0	1.07e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	rbtD; ribitol 2-dehydrogenase
35	K00040	K00040: fructuronate reductase	0.000173809	0.0	0.000162516	0.00020842099999999998	0.00016244	0.000158154	7.049999999999999e-05	0.000136377	0.000167368	0.000164613	0.000146916	0.00017591900000000002	0.000220116	0.00011750799999999999	0.000177722	0.000134365	0.0	0.00014186100000000002	0.000187231	0.00019886	0.000255346	0.000196308	0.00018014099999999998	0.00016971	0.000171243	0.000284417	0.000310398	0.000152483	0.0	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	uxuB; fructuronate reductase
36	K00041	K00041: tagaturonate reductase	0.000212776	0.0	0.000186735	0.000203573	0.00017257400000000002	0.000132067	0.000113274	0.000130957	0.000176435	0.00019193900000000002	0.000135114	0.00013526600000000002	0.00013580799999999998	0.000106242	0.000175953	0.00018446	0.0	0.00019890400000000002	0.00021544099999999997	0.000190215	0.00021732400000000002	0.000144168	0.00019367900000000001	0.00018177400000000003	0.00019119700000000002	0.00022575099999999997	0.00024312900000000002	0.000226232	0.0	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	uxaB; tagaturonate reductase
37	K00042	K00042: 2-hydroxy-3-oxopropionate reductase	0.000117601	0.0	0.00014251200000000002	0.000162791	0.000165975	0.000141776	0.00015599	9.350000000000001e-05	0.000177733	0.000106375	0.000105536	0.000107358	0.000171117	0.00017698	0.00010378899999999999	0.000138283	0.0	0.000108881	0.000195218	0.000131803	3.6099999999999997e-05	0.000137327	0.00012021799999999999	0.000100932	0.00010359	0.00014100700000000001	8.109999999999999e-05	7.54e-05	0.0	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	garR glxR; 2-hydroxy-3-oxopropionate reductase
38	K00043	K00043: 4-hydroxybutyrate dehydrogenase	4.6899999999999995e-05	0.0	2.6300000000000002e-05	9.95e-05	6.04e-05	3.76e-05	2.48e-05	8.37e-05	6.38e-05	4.74e-05	8.379999999999999e-05	9.240000000000001e-05	7.92e-05	9.91e-05	6.78e-05	8.45e-05	0.0	2.17e-05	9.44e-05	8.379999999999999e-05	5.67e-05	0.00010905700000000001	7e-05	8.540000000000002e-05	3.8e-05	6.19e-05	4.8100000000000004e-05	5.96e-05	9.71e-06	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	gbd; 4-hydroxybutyrate dehydrogenase
39	K00044	K00044: estradiol 17beta-dehydrogenase	3.26e-05	0.0	2.45e-05	3.53e-05	1.56e-05	0.0	0.0	2.52e-05	9.67e-06	1.32e-05	0.0	2.4299999999999998e-05	2.6600000000000003e-05	6.86e-06	1.9699999999999998e-05	2.25e-05	0.0	0.0	8.78e-06	8.19e-06	0.0	2.7300000000000003e-05	2.68e-05	2.14e-05	7.42e-06	1.6100000000000002e-05	1.9399999999999997e-05	1.28e-05	0.0	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	HSD17B1; 17beta-estradiol 17-dehydrogenase
40	K00045	K00045: mannitol 2-dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.45e-06	0.0	3.88e-06	3.94e-06	0.0	0.0	8.71e-06	0.0	1.49e-05	0.0	1.6e-05	5.11e-06	1.55e-05	0.0	0.0	7.46e-06	8.31e-06	9.47e-06	0.0	0.0	0.0	0.0	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	E1.1.1.67 mtlK; mannitol 2-dehydrogenase
41	K00046	K00046: gluconate 5-dehydrogenase	0.000279923	0.0	0.00040616400000000004	0.00027846	0.000240213	0.00015911	0.000349814	0.000256238	0.000298765	0.000406461	0.000220536	0.000223153	0.000239538	0.00034244	0.00034124800000000005	0.000343182	0.0	0.000396779	0.00037174699999999996	0.000463086	0.000236315	0.00045493800000000005	0.000415248	0.000444005	0.00025696599999999997	0.000312615	0.00038007	0.00031864400000000003	9.070000000000001e-05	None	None	None	None
42	K00048	K00048: lactaldehyde reductase	0.000318438	0.0	0.00041632800000000004	0.000406713	0.00034025300000000005	0.000317632	0.00023988200000000002	0.000378213	0.00044124400000000003	0.00033741	0.000364287	0.000398433	0.000406503	0.000312348	0.00042852300000000004	0.00039128800000000005	0.0	0.000378808	0.000380604	0.00043432199999999995	0.000411999	0.000310393	0.000398736	0.00042054699999999996	0.00039325	0.00033712699999999995	0.0006388909999999999	0.00048176199999999995	4.41e-05	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	fucO; lactaldehyde reductase
43	K00049	K00049: glyoxylate reductase (NADP+)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.24e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	GRHPR; glyoxylate/hydroxypyruvate reductase
